종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,6.647,14,245.3,8.559,13.524,179.0,115053,1572.0,8.534,138582.3
ID,4.576,8,101.5,7.975,4.606,88.0,115022,898.0,3.467,1664242.6
PENGU,3.871,1,17.3,3.992,2.628,186.0,3949,48.0,0.999,68811109.2
ONDO,3.397,2,76.8,3.449,2.186,184.0,22358,294.0,4.32,784379.5
SUI,3.169,1,28.1,3.907,1.509,139.0,9803,96.0,2.988,174985.3
NEAR,2.109,1,43.5,2.169,1.22,323.0,22306,188.0,3.99,25586.2
PRL,1.833,0,10.5,2.203,1.874,106.0,8246,56.0,1.331,407119.7
STRAX,1.829,0,53.5,2.247,2.391,77.0,51388,287.0,2.303,13745384.2
ASTR,1.755,0,46.9,3.191,3.652,92.0,67109,414.0,5.477,3281042.2
PEPE,1.542,0,8.3,1.646,1.664,184.0,2455,25.0,4.104,25203460568.2
ENA,1.53,0,36.0,1.719,1.311,150.0,7569,95.0,1.108,9648168.7
ARB,1.529,0,7.8,1.567,1.197,146.0,2163,18.0,2.341,1680837.5
HBAR,1.211,0,10.6,1.211,1.19,288.0,2276,24.0,1.444,9477584.7
IP,1.058,0,24.6,1.786,1.17,99.0,11859,94.0,2.632,296322.6
SAHARA,0.967,0,74.2,4.423,4.094,111.0,71919,568.0,1.96,26566001.0
FCT2,0.957,0,10.5,1.141,0.805,111.0,7536,33.0,0.818,23452103.9
CTC,0.951,0,24.8,1.757,1.104,76.0,18310,109.0,1.454,1215317.8
CHZ,0.946,0,23.7,1.87,3.867,198.0,11401,108.0,3.01,3467443.4
ALGO,0.941,0,5.7,1.056,0.819,532.0,1593,14.0,3.477,1223098.6
INJ,0.913,0,5.6,1.089,0.46,248.0,2534,20.0,3.331,4179.9
BIRB,0.875,0,13.8,1.12,1.007,58.0,11423,56.0,1.592,1064989.6
KAT,0.858,0,29.4,1.09,1.217,111.0,15472,113.0,2.039,8188039.2
BLAST,0.858,0,23.3,2.896,2.309,66.0,30854,181.0,3.876,73331981.2
CHIP,0.844,0,12.2,1.069,0.957,155.0,4791,42.0,2.933,1777106.0
PYTH,0.818,0,15.0,1.192,1.948,126.0,14730,111.0,9.592,306537.2
AVNT,0.784,0,13.7,1.288,0.857,102.0,4094,40.0,1.445,1633219.9
SAND,0.781,0,6.8,0.781,0.481,166.0,2590,18.0,3.034,1283335.9
TAIKO,0.777,0,2.9,0.968,0.201,322.0,1162,7.0,1.228,912924.1
JTO,0.761,0,10.5,0.785,0.611,505.0,5056,35.0,2.523,63056.3
SENT,0.745,0,8.8,2.21,3.873,53.0,9236,71.0,3.519,2702164.0
ZRO,0.732,0,12.4,2.457,2.945,78.0,14486,79.0,7.118,19875.1
HIVE,0.718,0,17.1,1.979,2.082,87.0,21846,121.0,4.433,414470.0
B3,0.699,0,11.8,1.749,2.489,72.0,13765,77.0,4.842,46139403.1
BIO,0.644,0,10.7,0.854,0.544,430.0,3838,32.0,1.937,2076745.2
KAITO,0.631,0,1.5,0.766,0.15,180.0,807,4.0,2.624,48585.2
BLEND,0.62,0,15.0,1.209,1.312,106.0,14014,74.0,9.653,131392.4
XAUT,0.61,0,3.2,0.611,1.501,360.0,1945,11.0,5.184,10.7
W,0.604,0,4.5,0.604,0.604,241.0,1018,9.0,1.742,13461683.2
BCH,0.591,0,19.0,0.962,0.911,329.0,7018,50.0,2.586,230.3
AAVE,0.578,0,3.4,0.578,0.221,289.0,1363,8.0,2.289,455.0
ICP,0.577,0,2.8,0.625,0.455,306.0,1100,7.0,3.952,4713.4
AERGO,0.575,0,6.2,0.765,0.6,122.0,5130,28.0,3.723,1213104.2
ZBT,0.574,0,14.1,1.475,1.138,332.0,6459,51.0,2.047,1318945.6
UNI,0.568,0,3.1,0.59,0.276,198.0,1580,7.0,2.514,7896.0
TRUMP,0.539,0,9.1,0.539,0.894,245.0,3566,27.0,5.144,14674.6
IN,0.534,0,12.2,0.545,0.326,309.0,4046,24.0,0.976,3412573.3
ZK,0.523,0,13.1,0.786,1.441,402.0,6918,48.0,2.276,6917929.8
WLFI,0.522,0,13.1,1.079,0.925,745.0,5671,54.0,3.01,842374.5
PLUME,0.52,0,6.8,0.734,0.292,452.0,1295,16.0,1.183,19806357.5
XPL,0.52,0,15.5,0.551,0.618,307.0,6585,51.0,2.57,1733669.7
AVAX,0.502,0,7.7,1.176,0.777,43.0,4480,27.0,2.987,6166.8
MOVE,0.498,0,19.2,0.585,0.668,269.0,7392,68.0,1.606,16037154.4
MANTRA,0.498,0,6.7,0.556,1.233,170.0,2658,19.0,0.602,42785931.5
SHIB,0.482,0,9.7,0.496,1.142,170.0,6239,31.0,3.823,30526926098.9
STX,0.453,0,5.9,0.508,0.443,432.0,2104,14.0,2.796,583976.1
VIRTUAL,0.444,0,13.8,0.533,0.6,222.0,5040,43.0,3.656,143157.9
ZETA,0.444,0,8.4,1.7,2.773,68.0,16171,88.0,2.85,814526.9
FIL,0.436,0,4.6,0.437,0.25,37.0,1975,10.0,2.56,39674.5
KITE,0.428,0,11.6,0.541,0.423,111.0,4392,28.0,1.189,669857.5
BARD,0.426,0,3.5,0.426,0.227,710.0,1045,9.0,2.438,461770.4
DOT,0.424,0,2.0,0.424,0.429,531.0,1022,6.0,2.62,23809.2
ATOM,0.411,0,6.4,0.424,1.041,149.0,4819,23.0,8.555,3553.3
LA,0.411,0,7.3,0.542,0.455,397.0,1855,22.0,1.927,1929426.6
LAYER,0.409,0,5.5,0.41,0.546,343.0,2764,19.0,1.455,1779750.2
AXS,0.4,0,4.6,0.4,0.613,125.0,2039,10.0,2.554,43209.5
SKR,0.393,0,3.7,0.418,0.378,148.0,2094,11.0,1.961,6845000.7
AWE,0.385,0,2.0,0.394,0.147,67.0,1126,5.0,2.72,1589295.9
ETC,0.383,0,5.4,0.386,0.228,76.0,2542,12.0,1.796,10502.7
BERA,0.382,0,7.4,0.383,0.382,124.0,2144,19.0,1.626,385757.4
JUP,0.375,0,2.7,0.375,0.39,139.0,736,5.0,2.082,441063.0
POKT,0.373,0,4.4,0.381,0.223,243.0,2089,12.0,0.936,26691408.2
ARKM,0.367,0,3.7,0.451,0.647,127.0,1404,10.0,1.693,532634.3
SONIC,0.358,0,6.2,0.631,0.75,50.0,6691,33.0,1.626,2251201.7
ZKP,0.355,0,5.6,0.397,0.405,92.0,3968,22.0,1.831,503889.1
POL,0.349,0,6.4,0.349,0.481,146.0,1887,16.0,1.41,3563861.9
LINK,0.347,0,7.7,0.398,1.083,385.0,3870,25.0,5.726,7129.2
ME,0.34,0,5.7,0.34,0.539,340.0,3081,19.0,2.082,447220.5
RAY,0.337,0,2.6,0.34,0.311,684.0,1504,7.0,2.586,33172.4
SIGN,0.331,0,3.9,0.331,0.436,174.0,1141,10.0,1.713,14060181.6
MEGA,0.33,0,9.2,0.341,0.43,331.0,3912,25.0,2.351,1152072.0
SKY,0.327,0,0.8,0.429,0.102,483.0,141,1.0,3.074,259512.2
CPOOL,0.306,0,2.8,0.306,0.115,180.0,2041,7.0,1.508,2666509.7
IRYS,0.304,0,8.5,0.304,0.303,304.0,3441,27.0,2.236,4766852.3
IOTA,0.301,0,1.3,0.308,0.142,126.0,703,4.0,3.901,228625.0
BIGTIME,0.3,0,1.8,0.3,0.213,250.0,508,4.0,1.586,6588804.5
AGLD,0.3,0,2.4,0.3,0.794,136.0,1320,5.0,1.097,280273.9
AKT,0.299,0,5.0,0.3,0.224,136.0,3048,13.0,2.404,44677.5
JST,0.29,0,1.2,0.29,0.181,223.0,604,4.0,0.773,2111491.9
CFG,0.287,0,9.8,0.545,0.508,287.0,2914,30.0,1.675,400754.9
ENS,0.284,0,4.1,0.284,0.279,114.0,2046,12.0,2.466,8418.2
KERNEL,0.282,0,1.8,0.282,0.076,2821.0,498,3.0,2.026,608312.6
FF,0.28,0,2.8,0.28,0.293,133.0,851,7.0,1.428,1545043.3
BTT,0.28,0,1.7,0.387,0.376,137.0,1148,6.0,4.63,221803724491.3
FLUID,0.274,0,6.0,0.388,0.277,90.0,3549,21.0,3.094,13587.8
SOON,0.263,0,3.9,0.273,0.304,257.0,1402,11.0,0.72,1499102.7
TAO,0.262,0,5.0,0.262,0.924,374.0,2655,18.0,2.85,229.2
MOCA,0.259,0,3.4,0.259,0.276,129.0,893,7.0,1.058,11233897.3
GRT,0.259,0,2.3,0.259,0.165,104.0,808,4.0,2.665,2008148.8
PROS,0.257,0,3.9,0.716,0.548,642.0,6279,20.0,3.475,41640.9
TRAC,0.255,0,2.2,0.278,0.151,188.0,1736,7.0,3.643,69762.7
CC,0.255,0,6.1,0.315,1.693,2550.0,6915,31.0,4.228,499973.4
PUMP,0.25,0,2.6,0.25,0.135,208.0,841,5.0,2.45,43983213.6
ZORA,0.248,0,3.6,0.248,0.255,355.0,938,8.0,0.927,16110566.6
ANKR,0.246,0,1.7,0.246,0.198,154.0,1075,5.0,3.873,3170180.7
DOOD,0.242,0,9.6,1.015,0.831,34.0,8885,44.0,10.137,12864960.6
