시각KST,종목,체결강도%,매수액,매도액,거래대금,체결수,메이저
2026-05-27 00:00:45,DRIFT,4885.0,11449841,234387,11684228,32,
2026-05-27 00:01:45,DRIFT,63.1,1608142,2547130,4155272,19,
2026-05-27 00:02:45,DRIFT,9897.9,881807,8909,890716,7,
2026-05-27 00:03:45,DRIFT,95.9,6640726,6925691,13566417,36,
2026-05-27 00:04:45,DRIFT,60.3,8763480,14539381,23302861,24,
2026-05-27 00:05:45,DRIFT,173.4,3391954,1955630,5347584,12,
2026-05-27 00:06:45,DRIFT,31.6,3191663,10086703,13278366,11,
2026-05-27 00:07:45,DRIFT,41.7,1098429,2631105,3729533,4,
2026-05-27 00:08:45,DRIFT,25.6,1961159,7647710,9608869,8,
2026-05-27 00:09:45,DRIFT,37.7,710296,1882829,2593125,12,
2026-05-27 00:10:45,DRIFT,18.9,9439,50000,59439,2,
2026-05-27 00:11:45,DRIFT,0.0,0,1593714,1593714,6,
2026-05-27 00:12:45,DRIFT,125.4,12502124,9971033,22473158,49,
2026-05-27 00:13:45,DRIFT,8438.7,505592,5991,511583,11,
2026-05-27 00:14:45,DRIFT,59.7,2464722,4128174,6592896,33,
2026-05-27 00:15:45,DRIFT,57.3,956325,1668387,2624712,7,
2026-05-27 00:16:45,DRIFT,0.0,0,707974,707974,2,
2026-05-27 00:17:45,DRIFT,9999.0,34936,0,34936,2,
2026-05-27 00:18:45,DRIFT,105.4,1159801,1100044,2259845,6,
2026-05-27 00:19:45,DRIFT,106.1,1055376,994976,2050352,9,
2026-05-27 00:20:45,DRIFT,7.1,1370020,19404863,20774883,42,
2026-05-27 00:21:45,DRIFT,60.7,1493783,2461851,3955633,12,
2026-05-27 00:22:45,DRIFT,294.0,1217139,413963,1631102,5,
2026-05-27 00:23:45,DRIFT,16.4,1992660,12130443,14123103,27,
2026-05-27 00:24:45,DRIFT,27.2,1340894,4923553,6264447,14,
2026-05-27 00:25:45,DRIFT,75.1,3494172,4652283,8146455,20,
2026-05-27 00:26:45,DRIFT,0.0,0,2999727,2999727,3,
2026-05-27 00:27:45,DRIFT,178.1,2991445,1679630,4671075,11,
2026-05-27 00:28:45,DRIFT,0.0,0,2681522,2681522,6,
2026-05-27 00:29:45,DRIFT,91.4,302347,330821,633168,4,
2026-05-27 00:30:45,DRIFT,18.3,485348,2654746,3140094,7,
2026-05-27 00:31:45,DRIFT,262.4,1325119,505060,1830179,7,
2026-05-27 00:32:45,DRIFT,59.2,532871,900034,1432905,5,
2026-05-27 00:33:45,DRIFT,331.3,1564425,472163,2036587,7,
2026-05-27 00:34:45,DRIFT,24.3,886492,3645973,4532465,8,
2026-05-27 00:35:45,DRIFT,15.3,210147,1376764,1586911,6,
2026-05-27 00:36:45,DRIFT,79.0,1348069,1706137,3054206,5,
2026-05-27 00:37:45,DRIFT,38.0,1286808,3388008,4674816,6,
2026-05-27 00:38:45,DRIFT,54.4,1229697,2260064,3489761,5,
2026-05-27 00:39:45,DRIFT,9999.0,1257207,0,1257207,3,
2026-05-27 00:40:45,DRIFT,13.4,263593,1961443,2225036,8,
2026-05-27 00:41:45,DRIFT,193.9,3523408,1817345,5340752,11,
2026-05-27 00:42:45,DRIFT,0.1,3035,2953986,2957021,10,
2026-05-27 00:43:45,DRIFT,0.0,0,499747,499747,1,
2026-05-27 00:44:45,DRIFT,9999.0,7986503,0,7986503,9,
2026-05-27 00:45:45,DRIFT,798.2,1664455,208529,1872984,5,
2026-05-27 00:47:45,DRIFT,9999.0,105587,0,105587,2,
2026-05-27 00:48:45,DRIFT,682.5,7205577,1055800,8261377,13,
2026-05-27 00:49:45,DRIFT,489.4,4377555,894508,5272063,10,
2026-05-27 00:50:45,DRIFT,67.3,1895174,2816048,4711222,12,
2026-05-27 00:51:45,DRIFT,3.6,193612,5413625,5607237,8,
2026-05-27 00:53:45,DRIFT,0.0,0,400035,400035,3,
2026-05-27 00:54:46,DRIFT,140.4,7191288,5122770,12314057,9,
2026-05-27 00:55:46,DRIFT,4087.8,2588413,63321,2651734,6,
2026-05-27 00:56:46,DRIFT,60.9,2695136,4422104,7117240,9,
2026-05-27 00:57:46,DRIFT,194.9,3950934,2026967,5977901,10,
2026-05-27 00:58:46,DRIFT,13.5,1585931,11739553,13325484,26,
2026-05-27 00:59:46,DRIFT,74.2,3251044,4382292,7633336,13,
2026-05-27 01:00:46,DRIFT,9999.0,1029824,0,1029824,2,
2026-05-27 01:01:46,DRIFT,75.8,1094200,1443633,2537833,4,
2026-05-27 01:02:46,DRIFT,9999.0,2,0,2,1,
2026-05-27 01:03:46,DRIFT,9999.0,243167,0,243167,2,
2026-05-27 01:04:46,DRIFT,24.9,1297650,5216901,6514551,9,
2026-05-27 01:05:46,DRIFT,153.9,11292596,7337251,18629847,25,
2026-05-27 01:06:46,DRIFT,146.4,6758458,4617706,11376164,22,
2026-05-27 01:07:46,DRIFT,0.3,10000,3959549,3969549,11,
2026-05-27 01:08:46,DRIFT,117.8,1668767,1416644,3085411,4,
2026-05-27 01:09:46,DRIFT,0.0,0,2897458,2897458,4,
2026-05-27 01:10:46,DRIFT,7390.1,2626107,35535,2661643,3,
2026-05-27 01:11:46,DRIFT,71.3,802969,1126368,1929337,7,
2026-05-27 01:12:46,DRIFT,3.1,24900,804479,829379,4,
2026-05-27 01:13:46,DRIFT,116.8,1152937,987456,2140393,6,
2026-05-27 01:14:46,DRIFT,9999.0,1402000,0,1402000,1,
2026-05-27 01:15:46,DRIFT,9999.0,450448,0,450448,1,
2026-05-27 01:16:46,DRIFT,197.8,8462990,4279313,12742303,18,
2026-05-27 01:17:46,DRIFT,2926.8,13710716,468452,14179168,14,
2026-05-27 01:18:46,DRIFT,55.0,2552334,4643216,7195550,7,
2026-05-27 01:20:46,DRIFT,26.5,4776733,18031571,22808304,44,
2026-05-27 01:21:46,DRIFT,1210.3,2565787,211992,2777779,9,
2026-05-27 01:23:46,DRIFT,111.5,4750571,4261283,9011854,18,
2026-05-27 01:24:46,DRIFT,28.7,6000,20931,26931,2,
2026-05-27 01:25:46,DRIFT,91.6,1899050,2073248,3972298,8,
2026-05-27 01:26:46,DRIFT,26.2,3016839,11493198,14510036,12,
2026-05-27 01:28:46,DRIFT,4.0,200000,4982262,5182262,14,
2026-05-27 01:29:46,DRIFT,0.0,0,800805,800805,3,
2026-05-27 01:30:46,DRIFT,0.0,0,555851,555851,2,
2026-05-27 01:32:46,DRIFT,205.3,139862,68112,207974,2,
2026-05-27 01:33:46,DRIFT,5.6,681179,12063073,12744253,25,
2026-05-27 01:34:46,DRIFT,17.0,2288646,13469607,15758253,19,
2026-05-27 01:35:46,DRIFT,134.2,2332207,1738119,4070325,15,
2026-05-27 01:36:46,DRIFT,8.5,372774,4378506,4751280,9,
2026-05-27 01:37:46,DRIFT,12.9,1356785,10483842,11840628,12,
2026-05-27 01:38:46,DRIFT,9999.0,30000,0,30000,2,
2026-05-27 01:39:46,DRIFT,9999.0,60000,0,60000,4,
2026-05-27 01:40:46,DRIFT,555.6,892164,160581,1052745,7,
2026-05-27 01:41:46,DRIFT,9999.0,30000,0,30000,3,
2026-05-27 01:42:46,DRIFT,4.1,836923,20477398,21314321,21,
2026-05-27 01:43:46,DRIFT,9999.0,119194,0,119194,2,
2026-05-27 01:44:46,DRIFT,524.4,907585,173067,1080651,13,
2026-05-27 01:45:46,DRIFT,9999.0,30000,0,30000,2,
2026-05-27 01:46:46,DRIFT,0.3,40000,11657007,11697007,11,
2026-05-27 01:48:46,DRIFT,9999.0,49161,0,49161,1,
2026-05-27 01:49:46,DRIFT,0.3,10000,3733023,3743023,11,
2026-05-27 01:50:46,DRIFT,0.3,5500,2119862,2125362,5,
2026-05-27 01:51:46,DRIFT,9999.0,515373,0,515373,3,
2026-05-27 01:52:46,DRIFT,140.2,1254399,894847,2149245,3,
2026-05-27 01:53:46,DRIFT,76.9,111549,145040,256589,5,
2026-05-27 01:54:46,DRIFT,48.7,536717,1101372,1638089,8,
2026-05-27 01:55:46,DRIFT,80.9,3416857,4224290,7641147,12,
2026-05-27 01:56:46,DRIFT,34.7,1543065,4443724,5986790,32,
2026-05-27 02:00:46,DRIFT,9999.0,20139,0,20139,2,
2026-05-27 02:01:46,DRIFT,9999.0,3526804,0,3526804,3,
2026-05-27 02:03:46,DRIFT,9999.0,173389,0,173389,1,
2026-05-27 02:04:46,DRIFT,9999.0,71830,0,71830,1,
2026-05-27 02:05:46,DRIFT,0.0,0,142960,142960,1,
2026-05-27 02:08:46,DRIFT,16.7,5022,30000,35022,2,
2026-05-27 02:10:46,DRIFT,9999.0,1740280,0,1740280,2,
2026-05-27 02:11:46,DRIFT,9999.0,141383,0,141383,2,
2026-05-27 02:12:46,DRIFT,46.3,1439353,3111655,4551007,2,
2026-05-27 02:13:46,DRIFT,0.0,0,5082581,5082581,1,
2026-05-27 02:14:46,DRIFT,53.0,2112356,3982753,6095109,12,
2026-05-27 02:15:46,DRIFT,9999.0,25779,0,25779,4,
2026-05-27 02:16:46,DRIFT,9999.0,1738652,0,1738652,4,
2026-05-27 02:17:46,DRIFT,293.3,745718,254282,1000000,2,
2026-05-27 02:19:46,DRIFT,9999.0,5007,0,5007,1,
2026-05-27 02:21:46,DRIFT,10.4,496681,4767763,5264444,3,
2026-05-27 02:22:46,DRIFT,511.0,10439133,2042687,12481820,13,
2026-05-27 02:23:46,DRIFT,301.4,5447221,1807073,7254294,20,
2026-05-27 02:24:46,DRIFT,137.4,2423386,1763817,4187203,17,
2026-05-27 02:25:46,DRIFT,1839.2,2416943,131410,2548353,11,
2026-05-27 02:26:46,DRIFT,47.7,393216,823509,1216725,3,
2026-05-27 02:27:46,DRIFT,0.0,0,2000000,2000000,1,
2026-05-27 02:28:46,DRIFT,158.6,158640,100000,258640,2,
2026-05-27 02:29:46,DRIFT,178.6,965258,540608,1505867,3,
2026-05-27 02:30:46,DRIFT,173.2,5174450,2987045,8161495,14,
2026-05-27 02:31:46,DRIFT,102.0,2493333,2444376,4937708,5,
2026-05-27 02:32:46,DRIFT,1318.1,13017546,987614,14005160,13,
2026-05-27 02:34:46,DRIFT,495.7,8986197,1812691,10798887,14,
2026-05-27 02:35:46,DRIFT,66.1,960720,1452836,2413556,9,
2026-05-27 02:36:46,DRIFT,9.8,667734,6809418,7477152,31,
2026-05-27 02:37:46,DRIFT,76.6,1139007,1487023,2626030,13,
2026-05-27 02:38:46,DRIFT,0.0,0,2071105,2071105,3,
2026-05-27 02:39:46,DRIFT,0.0,0,194172,194172,2,
2026-05-27 02:40:46,DRIFT,9999.0,77442,0,77442,3,
2026-05-27 02:41:46,DRIFT,82.7,3229435,3903593,7133027,10,
2026-05-27 02:42:46,DRIFT,148.3,843569,568990,1412559,3,
2026-05-27 02:43:46,DRIFT,9999.0,971214,0,971214,4,
2026-05-27 02:47:46,DRIFT,0.0,0,1698176,1698176,7,
2026-05-27 02:48:46,DRIFT,2213.4,1416200,63982,1480181,6,
2026-05-27 02:50:46,DRIFT,0.0,0,2200577,2200577,2,
2026-05-27 02:51:46,DRIFT,0.0,0,886153,886153,5,
2026-05-27 02:56:46,DRIFT,0.0,0,2666691,2666691,6,
2026-05-27 02:57:46,DRIFT,0.0,0,7787520,7787520,7,
2026-05-27 03:00:46,DRIFT,299.0,1008506,337323,1345829,4,
2026-05-27 03:01:46,DRIFT,0.0,0,13255079,13255079,12,
2026-05-27 03:02:46,DRIFT,19.0,900034,4734663,5634698,9,
2026-05-27 03:03:46,DRIFT,0.0,0,34710,34710,5,
2026-05-27 03:04:46,DRIFT,0.4,13900,3818768,3832668,7,
2026-05-27 03:05:46,DRIFT,100.4,27800,27690,55490,8,
2026-05-27 03:06:46,DRIFT,0.0,0,16179336,16179336,7,
2026-05-27 03:08:46,DRIFT,0.0,0,5326263,5326263,10,
2026-05-27 03:09:46,DRIFT,0.5,21137,3849435,3870573,7,
2026-05-27 03:10:46,DRIFT,173.7,6806298,3919063,10725361,8,
2026-05-27 03:11:46,DRIFT,4.5,58535,1315240,1373776,4,
2026-05-27 03:12:46,DRIFT,3449.5,2490639,72204,2562843,4,
2026-05-27 03:14:46,DRIFT,9999.0,11517,0,11517,2,
2026-05-27 03:16:46,DRIFT,6519.7,7749441,118862,7868304,7,
2026-05-27 03:17:46,DRIFT,61.9,215894,348671,564565,5,
2026-05-27 03:20:46,DRIFT,0.0,0,3205373,3205373,3,
2026-05-27 03:21:46,DRIFT,0.0,0,844042,844042,2,
2026-05-27 03:22:46,DRIFT,147.5,242661,164501,407161,8,
2026-05-27 03:25:46,DRIFT,9999.0,2475228,0,2475228,1,
2026-05-27 03:26:46,DRIFT,9999.0,2336693,0,2336693,1,
2026-05-27 03:28:46,DRIFT,9999.0,669122,0,669122,2,
2026-05-27 03:30:46,DRIFT,0.0,0,921433,921433,5,
2026-05-27 03:32:46,DRIFT,0.0,0,37071,37071,1,
2026-05-27 03:33:46,DRIFT,0.0,0,640757,640757,1,
2026-05-27 03:37:46,DRIFT,9999.0,3130464,0,3130464,2,
2026-05-27 03:39:46,DRIFT,9999.0,6000,0,6000,1,
2026-05-27 03:40:46,DRIFT,0.0,0,5982,5982,1,
2026-05-27 03:41:46,DRIFT,14.2,254875,1789492,2044367,5,
2026-05-27 03:44:46,DRIFT,9999.0,1086759,0,1086759,4,
2026-05-27 03:45:46,DRIFT,34.2,1053772,3084318,4138090,13,
2026-05-27 03:46:46,DRIFT,78.6,6153842,7829673,13983516,26,
2026-05-27 03:48:46,DRIFT,9999.0,5430,0,5430,1,
2026-05-27 03:49:46,DRIFT,14.2,5430,38115,43545,4,
2026-05-27 03:51:46,DRIFT,39.4,7800,19809,27609,2,
2026-05-27 03:52:46,DRIFT,1786.8,1052766,58921,1111686,3,
2026-05-27 03:55:46,DRIFT,0.0,0,88253,88253,2,
2026-05-27 03:56:46,DRIFT,9999.0,6000,0,6000,1,
2026-05-27 04:00:46,DRIFT,41.5,1117039,2691571,3808609,11,
2026-05-27 04:02:46,DRIFT,9999.0,12395,0,12395,2,
2026-05-27 04:03:46,DRIFT,9999.0,582335,0,582335,4,
2026-05-27 04:04:46,DRIFT,180.6,1925027,1065870,2990896,7,
2026-05-27 04:05:46,DRIFT,25.2,182624,724837,907461,5,
2026-05-27 04:06:46,DRIFT,549.1,672058,122404,794462,5,
2026-05-27 04:07:46,DRIFT,9999.0,254479,0,254479,2,
2026-05-27 04:08:46,DRIFT,9999.0,231323,0,231323,2,
2026-05-27 04:09:46,DRIFT,9999.0,210273,0,210273,2,
2026-05-27 04:10:46,DRIFT,9999.0,364886,0,364886,4,
2026-05-27 04:11:46,DRIFT,25.7,192500,748143,940643,7,
2026-05-27 04:12:46,DRIFT,9999.0,166920,0,166920,2,
2026-05-27 04:13:46,DRIFT,9999.0,1799552,0,1799552,3,
2026-05-27 04:14:46,DRIFT,9999.0,61667,0,61667,2,
2026-05-27 04:15:46,DRIFT,65.4,161387,246749,408136,5,
2026-05-27 04:16:46,DRIFT,9999.0,332738,0,332738,2,
2026-05-27 04:17:46,DRIFT,2.0,46633,2383985,2430618,5,
2026-05-27 04:18:46,DRIFT,8.0,116146,1450296,1566442,10,
2026-05-27 04:19:46,DRIFT,9.7,80882,835371,916253,9,
2026-05-27 04:20:46,DRIFT,67.1,242844,362037,604881,5,
2026-05-27 04:21:46,DRIFT,262.7,1681145,639836,2320981,4,
2026-05-27 04:22:46,DRIFT,9999.0,51720,0,51720,2,
2026-05-27 04:23:46,DRIFT,9999.0,99047,0,99047,5,
2026-05-27 04:24:46,DRIFT,9999.0,41796,0,41796,2,
2026-05-27 04:25:46,DRIFT,9999.0,44376,0,44376,3,
2026-05-27 04:26:46,DRIFT,9999.0,36262,0,36262,2,
2026-05-27 04:27:46,DRIFT,294.4,188071,63890,251961,4,
2026-05-27 04:28:46,DRIFT,9999.0,39169,0,39169,2,
2026-05-27 04:29:46,DRIFT,9999.0,835373,0,835373,4,
2026-05-27 04:30:46,DRIFT,6.0,53029,890551,943580,7,
2026-05-27 04:31:46,DRIFT,75.9,1562350,2059126,3621476,10,
2026-05-27 04:32:46,DRIFT,0.0,0,1071230,1071230,3,
2026-05-27 04:33:46,DRIFT,63.9,4569309,7154806,11724115,7,
2026-05-27 04:34:46,DRIFT,3.0,63890,2151001,2214891,2,
2026-05-27 04:36:46,DRIFT,6.9,13860,200000,213860,2,
2026-05-27 04:37:46,DRIFT,9999.0,173820,0,173820,1,
2026-05-27 04:38:46,DRIFT,9999.0,355320,0,355320,1,
2026-05-27 04:39:46,DRIFT,0.0,0,3662944,3662944,2,
2026-05-27 04:42:46,DRIFT,0.0,0,534198,534198,2,
2026-05-27 04:43:46,DRIFT,0.0,0,566455,566455,3,
2026-05-27 04:45:46,DRIFT,21.8,1168871,5370357,6539228,9,
2026-05-27 04:46:46,DRIFT,130.6,245704,188139,433843,2,
2026-05-27 04:47:46,DRIFT,0.0,0,2212058,2212058,1,
2026-05-27 04:49:46,DRIFT,0.0,3,573300,573302,2,
2026-05-27 04:50:46,DRIFT,526.9,1668653,316704,1985358,7,
2026-05-27 04:51:46,DRIFT,0.0,0,1552743,1552743,1,
