시각KST,종목,체결강도%,매수액,매도액,거래대금,체결수,메이저
2026-05-27 00:00:45,SEI,35.9,5025304,14016205,19041510,35,
2026-05-27 00:01:45,SEI,6317.6,4382366,69368,4451734,9,
2026-05-27 00:02:45,SEI,21.3,6595200,30945709,37540909,38,
2026-05-27 00:03:45,SEI,126.7,7896501,6230232,14126733,23,
2026-05-27 00:04:45,SEI,130.4,7261793,5569058,12830851,22,
2026-05-27 00:05:45,SEI,50.3,4325377,8598005,12923382,11,
2026-05-27 00:06:45,SEI,119.0,2054017,1725341,3779358,6,
2026-05-27 00:07:45,SEI,0.0,0,46218397,46218397,25,
2026-05-27 00:08:45,SEI,13.3,12740983,95686251,108427234,34,
2026-05-27 00:09:45,SEI,93.9,3704253,3946904,7651157,18,
2026-05-27 00:10:45,SEI,99.3,2085459,2099625,4185084,5,
2026-05-27 00:11:45,SEI,10.2,1579213,15412916,16992129,13,
2026-05-27 00:12:45,SEI,688.6,4790294,695706,5486000,9,
2026-05-27 00:13:45,SEI,271.5,3113551,1146787,4260338,10,
2026-05-27 00:14:45,SEI,0.0,0,4211728,4211728,1,
2026-05-27 00:15:45,SEI,3725.8,17069321,458144,17527465,4,
2026-05-27 00:16:45,SEI,0.0,0,14235313,14235313,11,
2026-05-27 00:17:45,SEI,1.9,48239,2505576,2553815,4,
2026-05-27 00:18:45,SEI,466.6,7013621,1502981,8516602,10,
2026-05-27 00:19:45,SEI,21.0,209301,994867,1204167,4,
2026-05-27 00:20:45,SEI,487.3,100000,20522,120522,2,
2026-05-27 00:21:45,SEI,2.0,747693,36941612,37689305,12,
2026-05-27 00:22:45,SEI,0.0,0,5780675,5780675,7,
2026-05-27 00:23:45,SEI,25.4,15718491,61961576,77680067,34,
2026-05-27 00:24:45,SEI,9999.0,19661696,0,19661696,6,
2026-05-27 00:25:45,SEI,9999.0,74637,0,74637,1,
2026-05-27 00:26:45,SEI,33.0,4969760,15037389,20007149,12,
2026-05-27 00:27:45,SEI,7.2,231807,3204621,3436427,4,
2026-05-27 00:28:45,SEI,16.1,65885,409304,475189,4,
2026-05-27 00:29:45,SEI,147.4,8658634,5875268,14533902,14,
2026-05-27 00:30:45,SEI,526.4,17667634,3355995,21023629,12,
2026-05-27 00:31:45,SEI,60.3,17346826,28783416,46130242,46,
2026-05-27 00:32:45,SEI,9999.0,9096377,0,9096377,10,
2026-05-27 00:33:45,SEI,31.0,2678204,8629221,11307425,7,
2026-05-27 00:34:45,SEI,0.0,0,1968780,1968780,3,
2026-05-27 00:35:45,SEI,4.9,970800,19978171,20948971,11,
2026-05-27 00:36:45,SEI,1.4,49625,3503167,3552792,2,
2026-05-27 00:37:45,SEI,359.3,4845349,1348652,6194001,6,
2026-05-27 00:38:45,SEI,9999.0,1195360,0,1195360,3,
2026-05-27 00:39:45,SEI,9999.0,118041,0,118041,3,
2026-05-27 00:40:45,SEI,9999.0,4417623,0,4417623,4,
2026-05-27 00:41:45,SEI,9999.0,536466,0,536466,1,
2026-05-27 00:42:45,SEI,9999.0,4242901,0,4242901,5,
2026-05-27 00:43:45,SEI,9999.0,222136,0,222136,1,
2026-05-27 00:45:45,SEI,0.0,0,1177589,1177589,2,
2026-05-27 00:46:45,SEI,141.0,15914973,11289148,27204121,17,
2026-05-27 00:47:45,SEI,0.0,0,100207,100207,1,
2026-05-27 00:50:45,SEI,0.0,0,9795815,9795815,4,
2026-05-27 00:51:45,SEI,9999.0,2567658,0,2567658,4,
2026-05-27 00:52:45,SEI,0.0,0,1216529,1216529,3,
2026-05-27 00:53:45,SEI,38.0,2959507,7796083,10755591,8,
2026-05-27 00:54:46,SEI,9999.0,45496972,0,45496972,29,
2026-05-27 00:55:46,SEI,0.0,0,7957669,7957669,3,
2026-05-27 00:56:46,SEI,96.3,7497936,7783695,15281630,7,
