종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
SAHARA,00:00,0.47,0.87,0.4,169,0.836,60543679.1
SAHARA,00:10,0.06,0.3,0.24,138,0.863,62027415.5
SAHARA,00:20,0.32,0.76,0.44,124,0.817,63332539.3
SAHARA,00:30,-0.55,0.39,0.94,149,0.838,62333348.5
SAHARA,00:40,-0.45,0.13,0.58,96,0.812,63682747.1
SAHARA,00:50,-0.22,0.09,0.3,77,0.825,62961125.8
SAHARA,01:00,-0.65,0.14,0.79,96,0.814,62844611.1
SAHARA,01:10,0.02,0.19,0.17,38,0.861,63891550.6
SAHARA,01:20,-0.22,0.13,0.34,45,0.887,62326933.6
SAHARA,01:30,-0.13,0.07,0.2,49,0.863,64348369.4
SAHARA,01:40,0.25,0.29,0.03,37,0.895,62794127.1
SAHARA,01:50,0.43,0.49,0.06,23,0.918,62247444.7
SAHARA,02:00,-0.39,0.07,0.47,47,0.871,63152426.8
SAHARA,02:10,-0.03,0.04,0.07,27,0.867,62950367.0
SAHARA,02:20,-0.17,0.28,0.46,85,0.877,64641318.3
SAHARA,02:30,-0.13,0.05,0.18,33,0.885,64547735.9
SAHARA,02:40,-0.07,0.17,0.25,30,0.881,63550502.7
SAHARA,02:50,-0.14,0.02,0.16,54,0.884,64191288.4
SAHARA,03:00,-0.77,0.02,0.79,305,0.851,64298968.0
SAHARA,03:10,-0.06,0.04,0.11,77,0.856,64284717.7
SAHARA,03:20,0.31,0.38,0.08,103,0.893,63715174.3
SAHARA,03:30,0.09,0.19,0.09,141,0.865,65739093.7
SAHARA,03:40,-0.14,0.0,0.14,104,0.874,65535353.2
SAHARA,03:50,-0.39,0.0,0.39,222,0.823,66518946.3
SAHARA,04:00,-0.35,0.05,0.4,195,0.821,66425475.8
SAHARA,04:10,-0.07,0.07,0.14,65,0.837,66395343.4
SAHARA,04:20,-0.18,0.01,0.19,161,0.821,66605400.1
SAHARA,04:30,-0.19,0.01,0.19,212,0.821,67106915.6
SAHARA,04:40,-0.56,0.0,0.57,344,0.816,66495492.7
SAHARA,04:50,-0.63,0.0,0.63,411,0.801,66278497.3
SAHARA,05:00,0.14,0.31,0.17,150,0.916,60837548.2
SAHARA,05:10,0.05,0.23,0.18,156,0.827,65822862.9
SAHARA,05:20,-0.15,0.27,0.42,250,0.923,60841748.8
SAHARA,05:30,-0.21,0.17,0.38,305,0.874,65999051.5
SAHARA,05:40,-1.01,0.01,1.03,365,0.842,65905036.6
SAHARA,05:50,-0.14,0.14,0.28,117,0.959,59497074.1
SAHARA,06:00,-0.19,0.17,0.37,280,0.929,60584058.7
SAHARA,06:10,-0.22,0.41,0.63,603,0.939,59056145.3
SAHARA,06:20,-0.91,0.17,1.08,420,0.938,58479650.5
SAHARA,06:30,-0.31,0.07,0.38,110,0.902,59522180.8
SAHARA,06:40,0.56,1.01,0.45,132,0.801,64940696.1
SAHARA,06:50,-0.65,0.21,0.86,122,0.787,65465427.6
SAHARA,07:00,-0.08,0.25,0.33,121,0.757,65769059.0
SAHARA,07:10,-0.19,0.13,0.32,208,0.765,64927643.4
SAHARA,07:20,0.1,0.41,0.3,138,0.749,65172519.6
SAHARA,07:30,0.09,0.31,0.22,143,0.781,65222394.3
SAHARA,07:40,-0.43,0.06,0.49,184,0.778,65476111.4
SAHARA,07:50,-0.25,0.15,0.4,216,0.794,65675372.9
SAHARA,08:00,-0.17,0.25,0.42,182,0.82,64335891.4
SAHARA,08:10,0.21,0.63,0.42,259,0.847,63492842.9
SAHARA,08:20,-0.11,0.13,0.23,105,0.843,65184246.6
SAHARA,08:30,-0.16,0.27,0.44,80,0.8,66097446.3
SAHARA,08:40,-0.06,0.25,0.31,101,0.799,65818648.9
SAHARA,08:50,0.52,0.76,0.23,138,0.752,68617091.5
SAHARA,09:00,0.67,12.64,11.98,2884,0.837,67908245.6
SAHARA,09:10,-2.43,3.37,5.8,1122,0.872,69028421.0
SAHARA,09:20,-1.35,1.51,2.87,531,0.787,69680305.6
SAHARA,09:30,0.43,1.41,0.98,325,0.88,66734006.1
SAHARA,09:40,-0.97,1.08,2.05,378,0.791,70857521.6
SAHARA,09:50,-0.06,1.1,1.16,318,0.804,71093688.4
SAHARA,10:00,-1.51,0.75,2.26,415,0.778,69890841.5
SAHARA,10:10,-0.98,0.68,1.66,257,0.785,69775447.7
SAHARA,10:20,-1.41,1.06,2.47,478,0.707,71754278.7
SAHARA,10:30,-1.69,0.58,2.27,320,0.748,70901214.7
SAHARA,10:40,-0.05,0.48,0.53,146,0.769,72829939.4
SAHARA,10:50,0.47,0.89,0.42,154,0.818,73179363.1
SAHARA,11:00,0.24,0.7,0.46,197,0.769,74453610.5
SAHARA,11:10,2.02,2.85,0.83,657,0.889,68734718.9
SAHARA,11:20,0.17,1.08,0.91,259,0.877,66829463.3
SAHARA,11:30,0.24,0.66,0.42,166,0.85,68551470.4
SAHARA,11:40,-0.09,0.4,0.49,184,0.843,68267057.5
SAHARA,11:50,-0.54,0.58,1.12,224,0.84,70516808.0
SAHARA,12:00,0.16,0.57,0.41,176,0.842,69990165.7
SAHARA,12:10,0.0,0.88,0.88,204,0.881,71379007.1
SAHARA,12:20,0.63,0.88,0.25,150,0.934,70085909.6
SAHARA,12:30,-0.46,0.18,0.64,110,0.885,70519813.4
SAHARA,12:40,0.13,0.68,0.55,161,0.887,70579115.9
SAHARA,12:50,0.66,1.52,0.86,361,0.981,68379149.5
SAHARA,13:00,0.62,1.58,0.96,340,0.965,72350052.4
SAHARA,13:10,-0.85,0.92,1.78,266,0.905,72217864.1
SAHARA,13:20,-0.91,0.47,1.37,205,0.883,70442604.7
SAHARA,13:30,-1.11,0.36,1.47,246,0.893,68679011.7
SAHARA,13:40,-0.1,1.78,1.88,315,0.969,67378687.5
SAHARA,13:50,0.09,0.79,0.7,157,0.98,67689152.5
SAHARA,14:00,-0.69,0.22,0.91,221,0.925,68547855.9
SAHARA,14:10,-1.05,0.23,1.29,206,0.969,63471924.8
SAHARA,14:20,-0.19,0.21,0.4,100,0.923,67014689.5
SAHARA,14:30,-0.36,1.13,1.49,239,0.923,65597807.3
SAHARA,14:40,0.2,0.4,0.2,115,1.006,65445037.5
SAHARA,14:50,-0.53,0.24,0.76,126,0.994,64743914.5
SAHARA,15:00,-0.51,0.26,0.77,100,0.961,68616667.9
SAHARA,15:10,0.37,0.47,0.1,72,0.947,68480924.4
SAHARA,15:20,-3.76,0.3,4.07,426,0.824,69388161.4
SAHARA,15:30,-0.03,1.41,1.45,286,0.892,67650415.7
SAHARA,15:40,-0.13,0.25,0.38,81,0.882,67237752.9
SAHARA,15:50,-0.81,0.12,0.93,133,0.883,67858016.1
SAHARA,16:00,0.41,0.68,0.27,103,0.878,68331480.5
SAHARA,16:10,-0.33,0.18,0.51,80,0.903,67124510.5
SAHARA,16:20,0.9,1.0,0.1,113,1.028,66215719.6
SAHARA,16:30,0.31,0.43,0.12,65,1.026,66034947.5
SAHARA,16:40,0.63,0.77,0.14,91,0.993,67221316.5
SAHARA,16:50,-1.67,0.06,1.73,155,0.914,64825026.7
SAHARA,17:00,-1.14,0.81,1.94,271,0.893,66594669.1
SAHARA,17:10,-0.8,0.29,1.08,84,0.81,69905192.8
SAHARA,17:20,-0.71,0.06,0.77,98,0.81,71923826.1
SAHARA,17:30,-0.5,0.27,0.77,80,0.792,73159941.0
SAHARA,17:40,-0.26,0.42,0.68,115,0.813,74553699.2
SAHARA,17:50,-5.14,0.49,5.63,760,0.667,74424987.5
SAHARA,18:00,-2.64,0.81,3.45,554,0.667,72831878.9
SAHARA,18:10,-0.78,0.33,1.11,223,0.683,72811354.2
SAHARA,18:20,0.34,0.72,0.38,133,0.748,72143513.1
SAHARA,18:30,-0.17,0.15,0.32,107,0.741,73592157.7
SAHARA,18:40,-0.41,0.42,0.83,138,0.739,71487313.5
SAHARA,18:50,-0.17,0.13,0.31,83,0.793,69880185.7
SAHARA,19:00,0.22,0.82,0.6,212,0.765,69451708.3
SAHARA,19:10,0.14,0.39,0.25,84,0.8,70116049.6
SAHARA,19:20,-0.2,0.07,0.27,52,0.781,70677722.5
SAHARA,19:30,0.54,0.58,0.04,91,0.866,68060977.0
SAHARA,19:40,1.74,2.51,0.77,401,0.873,67203744.6
