시각KST,종목,체결강도%,매수액,매도액,거래대금,체결수,메이저
2026-05-27 00:00:45,SOON,39.5,40000,101300,141300,5,
2026-05-27 00:01:45,SOON,0.0,0,745970,745970,4,
2026-05-27 00:02:45,SOON,0.0,0,55063,55063,1,
2026-05-27 00:03:45,SOON,228.4,513000,224642,737642,7,
2026-05-27 00:04:45,SOON,9999.0,157162,0,157162,2,
2026-05-27 00:05:45,SOON,9999.0,844812,0,844812,5,
2026-05-27 00:06:45,SOON,9999.0,256377,0,256377,3,
2026-05-27 00:07:45,SOON,28.2,1341315,4762460,6103775,10,
2026-05-27 00:08:45,SOON,13.1,100226,766295,866521,2,
2026-05-27 00:09:45,SOON,1580.8,23635158,1495126,25130284,13,
2026-05-27 00:11:45,SOON,9999.0,7000,0,7000,1,
2026-05-27 00:13:45,SOON,0.0,0,139938,139938,3,
2026-05-27 00:15:45,SOON,0.0,0,21852564,21852564,6,
2026-05-27 00:17:45,SOON,84.3,503641,597306,1100947,9,
2026-05-27 00:18:45,SOON,8274.2,2202475,26619,2229094,17,
2026-05-27 00:19:45,SOON,0.1,13000,10855076,10868076,9,
2026-05-27 00:20:45,SOON,9999.0,89234,0,89234,1,
2026-05-27 00:21:45,SOON,1007.8,1907044,189235,2096280,12,
2026-05-27 00:22:45,SOON,515.1,28778308,5587164,34365472,17,
2026-05-27 00:23:45,SOON,2.8,201398,7164607,7366006,6,
2026-05-27 00:24:45,SOON,9999.0,449026,0,449026,1,
2026-05-27 00:25:45,SOON,1607.1,1771859,110250,1882109,21,
2026-05-27 00:26:45,SOON,9999.0,126061,0,126061,3,
2026-05-27 00:27:45,SOON,9999.0,7000,0,7000,1,
2026-05-27 00:28:45,SOON,9999.0,341157,0,341157,2,
2026-05-27 00:29:45,SOON,0.0,0,34724,34724,1,
2026-05-27 00:30:45,SOON,0.0,0,686393,686393,5,
2026-05-27 00:31:45,SOON,8645.3,477394,5522,482916,8,
2026-05-27 00:32:45,SOON,9999.0,249476,0,249476,3,
2026-05-27 00:34:45,SOON,9999.0,175883,0,175883,2,
2026-05-27 00:35:45,SOON,21.3,1666910,7842153,9509063,21,
2026-05-27 00:36:45,SOON,9999.0,76424,0,76424,1,
2026-05-27 00:37:45,SOON,0.0,0,1349415,1349415,2,
2026-05-27 00:38:45,SOON,5.4,85479,1581574,1667053,2,
2026-05-27 00:39:45,SOON,9999.0,565552,0,565552,4,
2026-05-27 00:40:45,SOON,9999.0,902930,0,902930,6,
2026-05-27 00:41:45,SOON,9.9,74239,752939,827178,3,
2026-05-27 00:42:45,SOON,9999.0,565945,0,565945,6,
2026-05-27 00:43:45,SOON,9999.0,365742,0,365742,4,
2026-05-27 00:44:45,SOON,20.4,305238,1499860,1805098,4,
2026-05-27 00:46:45,SOON,449.8,49313,10963,60277,3,
2026-05-27 00:47:45,SOON,9999.0,10226,0,10226,1,
2026-05-27 00:48:45,SOON,9999.0,9552,0,9552,1,
