시각KST,종목,체결강도%,매수액,매도액,거래대금,체결수,메이저
2026-05-27 00:00:45,IRYS,65.3,1309700,2005463,3315163,10,
2026-05-27 00:01:45,IRYS,0.0,0,361998,361998,5,
2026-05-27 00:02:45,IRYS,0.0,0,9387907,9387907,18,
2026-05-27 00:03:45,IRYS,2.7,144804,5349919,5494723,20,
2026-05-27 00:04:45,IRYS,218.7,575919,263365,839284,7,
2026-05-27 00:05:45,IRYS,14793.4,5349602,36162,5385764,4,
2026-05-27 00:06:45,IRYS,0.0,0,8043609,8043609,9,
2026-05-27 00:07:45,IRYS,0.1,5012,7220346,7225359,11,
2026-05-27 00:08:45,IRYS,471.4,28154,5973,34126,2,
2026-05-27 00:09:45,IRYS,76.8,19932,25959,45891,5,
2026-05-27 00:10:45,IRYS,9999.0,18468,0,18468,1,
2026-05-27 00:11:45,IRYS,3710.3,1187689,32011,1219700,6,
2026-05-27 00:12:45,IRYS,9999.0,1786815,0,1786815,1,
2026-05-27 00:13:45,IRYS,9999.0,803350,0,803350,2,
2026-05-27 00:14:45,IRYS,3054.7,6397851,209441,6607292,8,
2026-05-27 00:15:45,IRYS,0.2,9933,4957211,4967144,3,
2026-05-27 00:16:45,IRYS,23.3,32433,139217,171649,5,
2026-05-27 00:17:45,IRYS,1.4,10000,735505,745505,7,
2026-05-27 00:18:45,IRYS,0.0,0,45084,45084,1,
2026-05-27 00:19:45,IRYS,0.0,0,4550582,4550582,5,
2026-05-27 00:20:45,IRYS,0.0,0,188640,188640,1,
2026-05-27 00:21:45,IRYS,0.0,0,63063,63063,3,
2026-05-27 00:22:45,IRYS,41.8,5221900,12482226,17704126,11,
2026-05-27 00:23:45,IRYS,0.7,118218,17572629,17690846,45,
2026-05-27 00:25:45,IRYS,9999.0,2664784,0,2664784,5,
2026-05-27 00:26:45,IRYS,9999.0,4876635,0,4876635,2,
2026-05-27 00:27:45,IRYS,0.0,0,2024672,2024672,3,
2026-05-27 00:28:45,IRYS,0.0,0,825447,825447,2,
2026-05-27 00:29:45,IRYS,0.0,0,1463438,1463438,4,
2026-05-27 00:30:45,IRYS,22.9,132000,577576,709576,8,
2026-05-27 00:31:45,IRYS,0.0,0,29762642,29762642,33,
2026-05-27 00:32:45,IRYS,0.0,0,14948873,14948873,30,
2026-05-27 00:33:45,IRYS,38.8,1557610,4012072,5569682,11,
2026-05-27 00:34:45,IRYS,12.1,6600,54751,61351,10,
2026-05-27 00:35:45,IRYS,0.0,0,369980,369980,6,
2026-05-27 00:36:45,IRYS,78.4,7529889,9609918,17139807,13,
2026-05-27 00:37:45,IRYS,123.7,258629,209106,467735,4,
2026-05-27 00:38:45,IRYS,0.0,0,1060807,1060807,8,
2026-05-27 00:39:45,IRYS,0.9,27632,2941311,2968943,4,
2026-05-27 00:40:45,IRYS,5.3,44100,826429,870529,4,
2026-05-27 00:43:45,IRYS,437.8,2161905,493788,2655693,7,
2026-05-27 00:44:45,IRYS,46.3,2209524,4770757,6980281,7,
2026-05-27 00:45:45,IRYS,123.8,959567,775307,1734874,5,
2026-05-27 00:46:45,IRYS,0.0,0,15267480,15267480,8,
2026-05-27 00:47:45,IRYS,0.0,0,60000,60000,3,
2026-05-27 00:49:45,IRYS,643.1,905655,140817,1046472,5,
2026-05-27 00:51:45,IRYS,27.4,24150,88000,112150,2,
2026-05-27 00:52:45,IRYS,0.0,0,5038905,5038905,10,
2026-05-27 00:53:45,IRYS,6.0,826868,13756766,14583634,23,
2026-05-27 00:54:46,IRYS,27.8,437513,1574851,2012363,19,
2026-05-27 00:55:46,IRYS,31.9,1164929,3648590,4813520,15,
2026-05-27 00:56:46,IRYS,1104.5,1101994,99773,1201767,4,
2026-05-27 00:57:46,IRYS,0.0,0,87800,87800,1,
