시각KST,종목,총매도잔량,총매수잔량,매수벽비율,상위5매도,상위5매수,최우선매도가,최우선매수가,스프레드%
2026-05-27 00:00:32,DRIFT,2821841.0276,5043192.8351,1.7872,131771.3278,113199.9368,69.8,69.7,0.1435
2026-05-27 00:01:32,DRIFT,2734721.1873,5025160.8953,1.8375,80875.4887,80377.4666,69.7,69.5,0.2878
2026-05-27 00:02:32,DRIFT,2764793.8376,4985128.96,1.8031,117875.4231,87447.2194,69.7,69.5,0.2878
2026-05-27 00:03:32,DRIFT,2826640.7208,5127846.7368,1.8141,147101.9374,257129.2692,69.7,69.5,0.2878
2026-05-27 00:04:32,DRIFT,2097490.4738,4851562.2484,2.313,319421.5987,565908.4,70,69.7,0.4304
2026-05-27 00:05:32,DRIFT,2162117.2482,4473701.2275,2.0691,345799.3276,82498.8218,70,69.8,0.2865
2026-05-27 00:06:32,DRIFT,2235215.217,4672497.7118,2.0904,263642.8848,68142.4884,70,69.8,0.2865
2026-05-27 00:07:32,DRIFT,2054092.3355,4760600.3287,2.3176,239839.1478,124832.1139,70,69.9,0.1431
2026-05-27 00:08:32,DRIFT,2068802.6827,4702897.7146,2.2732,272318.2853,120585.7637,69.9,69.8,0.1433
2026-05-27 00:09:32,DRIFT,1914680.345,4767039.1021,2.4897,150805.1812,140562.0717,69.7,69.5,0.2878
2026-05-27 00:10:32,DRIFT,1981548.6007,4766544.3017,2.4055,205728.3263,86092.768,69.9,69.6,0.431
2026-05-27 00:11:32,DRIFT,2110363.0083,4814245.7133,2.2812,266745.6773,123846.2806,69.9,69.6,0.431
2026-05-27 00:12:32,DRIFT,1771617.0418,5161565.5509,2.9135,88818.2797,547931.0231,69.6,69.2,0.578
2026-05-27 00:13:32,DRIFT,1823839.7033,4853859.218,2.6613,165355.6095,196035.7188,69.6,69.5,0.1439
2026-05-27 00:14:32,DRIFT,1725792.2184,4919369.2926,2.8505,129984.3677,287823.5302,69.5,69.4,0.1441
2026-05-27 00:15:32,DRIFT,1934244.1703,4784722.6909,2.4737,324350.7185,134422.3549,69.8,69.7,0.1435
2026-05-27 00:16:32,DRIFT,1799045.4012,4833102.0299,2.6865,212685.5625,168225.697,69.7,69.6,0.1437
2026-05-27 00:17:32,DRIFT,1707136.4235,4817662.5215,2.8221,183871.5059,168581.9648,69.7,69.6,0.1437
2026-05-27 00:18:32,DRIFT,1690081.3826,4833366.0258,2.8598,166816.4649,201861.7588,69.7,69.6,0.1437
2026-05-27 00:19:32,DRIFT,1820415.5887,4715740.3412,2.5905,297130.9448,122298.6055,69.8,69.7,0.1435
2026-05-27 00:20:32,DRIFT,1631752.0882,5008473.7988,3.0694,97033.2348,451304.8061,69.4,69.2,0.289
2026-05-27 00:21:32,DRIFT,1626761.2612,4939441.0446,3.0364,90460.718,459987.6125,69.5,69.3,0.2886
