시각KST,종목,총매도잔량,총매수잔량,매수벽비율,상위5매도,상위5매수,최우선매도가,최우선매수가,스프레드%
2026-05-27 00:00:32,SEI,14439452.162,3658973.335,0.2534,2651103.2072,1485000.9726,98.7,98.6,0.1014
2026-05-27 00:01:32,SEI,14408714.6741,2959121.0993,0.2054,1985674.5491,1749454.4643,98.5,98.3,0.2035
2026-05-27 00:02:32,SEI,9056982.1253,3683678.3657,0.4067,1592446.9098,2008942.4764,97.9,97.8,0.1022
2026-05-27 00:03:32,SEI,6977399.8079,3198618.8978,0.4584,1327642.5302,1817246.6143,97.4,97.3,0.1028
2026-05-27 00:04:32,SEI,7495325.9038,4301276.9569,0.5739,1254692.1136,2367982.5945,97.7,97.6,0.1025
2026-05-27 00:05:32,SEI,8825718.0949,4623579.0851,0.5239,1872402.6539,2250716.3123,97.9,97.7,0.2047
2026-05-27 00:06:32,SEI,8448570.8514,3823974.0644,0.4526,1930506.5171,1928425.7667,97.9,97.7,0.2047
2026-05-27 00:07:32,SEI,7632871.6392,3286199.669,0.4305,1403459.9945,2184695.3135,97.5,97.3,0.2055
2026-05-27 00:08:32,SEI,7055723.2814,2586045.3712,0.3665,1763543.9688,1460095.2331,97.1,97,0.1031
2026-05-27 00:09:32,SEI,7695210.4001,3265871.2531,0.4244,1800100.93,2195825.6277,97,96.8,0.2066
2026-05-27 00:10:32,SEI,7702467.3651,3334444.9836,0.4329,1872752.0044,2226603.8113,97,96.8,0.2066
2026-05-27 00:11:32,SEI,7655475.9783,3065660.8155,0.4005,1873436.3804,1984867.6151,97,96.8,0.2066
2026-05-27 00:12:32,SEI,8602015.79,3478800.0999,0.4044,1868687.9075,1537993.4454,97.5,97.3,0.2055
2026-05-27 00:13:32,SEI,10619552.448,3732507.6988,0.3515,2036553.9855,2056221.8659,97.6,97.4,0.2053
2026-05-27 00:14:32,SEI,8312220.6891,3648756.8713,0.439,2338134.869,1980071.0385,97.6,97.4,0.2053
2026-05-27 00:15:32,SEI,10549679.5473,3973414.3964,0.3766,1967210.3895,2342768.9967,97.7,97.4,0.308
2026-05-27 00:16:32,SEI,8010755.9877,2579703.6349,0.322,1826991.8336,1606562.2062,97.3,97.2,0.1029
2026-05-27 00:17:32,SEI,7751731.3336,2706019.5672,0.3491,1719593.0904,1976089.406,97.1,96.9,0.2064
2026-05-27 00:18:32,SEI,7103473.9219,3237309.1568,0.4557,1670944.4986,2005443.9862,97.1,96.9,0.2064
2026-05-27 00:19:32,SEI,6859973.9883,3627347.5407,0.5288,1573045.2675,1984847.7153,97.2,97.1,0.103
2026-05-27 00:20:32,SEI,7461683.9121,3044518.0297,0.408,2212755.1913,1804618.2545,97.2,97,0.2062
2026-05-27 00:21:32,SEI,6327504.9466,2645947.4954,0.4182,1670808.6061,1189404.9871,96.8,96.7,0.1034
2026-05-27 00:22:32,SEI,6621380.8463,3128308.758,0.4725,1479650.6048,1623779.8306,96.9,96.7,0.2068
2026-05-27 00:23:32,SEI,6822776.846,2674836.8335,0.392,2016917.6032,1424793.6549,96.6,96.3,0.3115
2026-05-27 00:24:32,SEI,6428008.8119,3024938.3165,0.4706,1629240.7318,1132107.681,96.6,96.5,0.1036
2026-05-27 00:25:32,SEI,6861540.2864,3674762.3067,0.5356,1794067.3377,1804035.1856,97.1,96.8,0.3099
2026-05-27 00:26:32,SEI,6521886.6822,3269936.6224,0.5014,1762158.8796,1744994.4155,96.9,96.8,0.1033
2026-05-27 00:27:32,SEI,6703046.2465,2793197.0745,0.4167,2030025.5534,1644699.7962,96.8,96.6,0.207
