시각KST,종목,총매도잔량,총매수잔량,매수벽비율,상위5매도,상위5매수,최우선매도가,최우선매수가,스프레드%
2026-05-27 00:00:32,SOON,3269906.5124,1868143.8171,0.5713,1369490.8666,1004690.8695,254,253,0.3953
2026-05-27 00:01:32,SOON,3372805.9565,1733691.2468,0.514,1467880.1971,870333.2602,254,253,0.3953
2026-05-27 00:02:32,SOON,3501684.933,1602812.9543,0.4577,1603292.4149,760950.8903,253,252,0.3968
2026-05-27 00:03:32,SOON,3602421.2059,1775546.1023,0.4929,1492424.7907,914906.8039,252,251,0.3984
2026-05-27 00:04:32,SOON,3482228.345,1823159.0447,0.5236,1372314.9299,962109.9102,252,251,0.3984
2026-05-27 00:05:32,SOON,3505513.1007,1927885.9982,0.55,1609144.3556,1042536.9254,253,252,0.3968
2026-05-27 00:06:32,SOON,3436893.4791,1991746.6672,0.5795,1538940.5693,1103700.418,253,252,0.3968
2026-05-27 00:07:32,SOON,3431926.001,2003650.7449,0.5838,1533973.0912,1115604.4957,253,252,0.3968
2026-05-27 00:08:32,SOON,3478720.6854,2013193.9161,0.5787,1580767.7757,1125147.6669,253,252,0.3968
2026-05-27 00:09:32,SOON,3507259.1837,1806379.4169,0.515,1609306.274,918333.1677,253,252,0.3968
2026-05-27 00:10:32,SOON,3495663.2867,1910197.5952,0.5464,1594730.0671,1020279.6543,253,252,0.3968
2026-05-27 00:11:32,SOON,3477340.4236,1839613.9761,0.529,1576802.0526,949696.0353,253,252,0.3968
2026-05-27 00:12:32,SOON,3475645.09,1858997.6588,0.5349,1575106.719,969079.7179,253,252,0.3968
2026-05-27 00:13:32,SOON,3473387.8544,1911239.2796,0.5503,1572849.4834,1021321.3388,253,252,0.3968
2026-05-27 00:14:32,SOON,3467704.8544,1949986.0004,0.5623,1566966.4834,1060068.0595,253,252,0.3968
2026-05-27 00:15:32,SOON,3433188.1065,1910041.545,0.5563,1533203.6732,1020123.6042,253,252,0.3968
2026-05-27 00:16:32,SOON,3430934.0361,1957718.6821,0.5706,1530949.6027,1067800.7413,253,252,0.3968
2026-05-27 00:17:32,SOON,3443331.2267,2024355.99,0.5879,1543346.7934,1134438.0492,253,252,0.3968
2026-05-27 00:18:32,SOON,3395899.1249,1997378.8581,0.5882,1495914.6916,1107460.9173,253,252,0.3968
2026-05-27 00:19:32,SOON,3396119.0968,1998593.1378,0.5885,1496134.6635,1108675.197,253,252,0.3968
2026-05-27 00:20:32,SOON,3395764.1779,1996978.7428,0.5881,1495779.7445,1107060.802,253,252,0.3968
2026-05-27 00:21:32,SOON,3540478.7417,2141089.6207,0.6047,1640535.3084,1251171.6799,253,252,0.3968
2026-05-27 00:22:32,SOON,3484134.0441,1853380.9559,0.5319,1584254.6107,964274.3775,253,252,0.3968
2026-05-27 00:23:32,SOON,3497511.2613,1835975.1549,0.5249,1391005.8466,916344.5888,252,251,0.3984
2026-05-27 00:24:32,SOON,3373878.6804,1881054.1984,0.5575,1267373.2657,961423.6324,252,251,0.3984
2026-05-27 00:25:32,SOON,3367993.5025,1915725.7639,0.5688,1261488.0878,997199.5081,252,251,0.3984
2026-05-27 00:26:32,SOON,3407656.4481,1896248.1545,0.5565,1514746.7034,968249.1371,253,251,0.7968
2026-05-27 00:27:32,SOON,3409899.8455,1931399.0188,0.5664,1516990.1009,964711.7382,253,252,0.3968
2026-05-27 00:28:32,SOON,3413232.9731,1928200.8612,0.5649,1518346.8204,960351.4606,253,252,0.3968
2026-05-27 00:29:32,SOON,3444320.4646,1835004.8071,0.5328,1549434.3118,867155.4065,253,252,0.3968
