시각KST,종목,총매도잔량,총매수잔량,매수벽비율,상위5매도,상위5매수,최우선매도가,최우선매수가,스프레드%
2026-05-27 00:00:32,IRYS,7649155.0442,9005258.5583,1.1773,1620587.9475,2000393.7443,44.3,44.2,0.2262
2026-05-27 00:01:32,IRYS,7699406.7639,9100868.3204,1.182,1670858.6672,2156745.3323,44.3,44.2,0.2262
2026-05-27 00:02:32,IRYS,7602594.9826,8911369.1402,1.1721,1574358.8859,1967246.1521,44.3,44.2,0.2262
2026-05-27 00:03:32,IRYS,7791988.4727,8642907.9551,1.1092,1774624.8785,2117439.5607,44.2,44.1,0.2268
2026-05-27 00:04:32,IRYS,7727415.683,8661389.3769,1.1209,1711212.0889,2128932.9911,44.2,44.1,0.2268
2026-05-27 00:05:32,IRYS,7608581.9473,8661345.4535,1.1384,1592378.3531,2121787.729,44.2,44.1,0.2268
2026-05-27 00:06:32,IRYS,7576274.3327,8771285.7525,1.1577,1537649.3041,2231728.028,44.2,44.1,0.2268
2026-05-27 00:07:32,IRYS,6823530.6494,8604143.2799,1.261,1248293.817,2736864.4706,44.1,44,0.2273
2026-05-27 00:08:32,IRYS,6817906.9687,8554578.959,1.2547,1242995.1363,2687300.1497,44.1,44,0.2273
2026-05-27 00:09:32,IRYS,6815236.6938,8552882.6726,1.255,1240324.8614,2685603.8633,44.1,44,0.2273
2026-05-27 00:10:32,IRYS,6861956.8603,8553621.309,1.2465,1287045.0278,2686342.4997,44.1,44,0.2273
2026-05-27 00:11:32,IRYS,6873158.632,8554965.3204,1.2447,1298246.7996,2687686.5111,44.1,44,0.2273
2026-05-27 00:12:32,IRYS,7155030.3601,8897876.8052,1.2436,1373094.6032,2358319.0807,44.2,44.1,0.2268
2026-05-27 00:13:32,IRYS,7183291.9303,9126626.6874,1.2705,1401356.1734,2340298.7361,44.2,44.1,0.2268
2026-05-27 00:14:32,IRYS,7277699.7347,9150237.8923,1.2573,1355516.8394,1927162.8217,44.3,44.2,0.2262
2026-05-27 00:15:32,IRYS,7195049.4003,9317660.4767,1.295,1427441.3453,2094592.1307,44.3,44.2,0.2262
2026-05-27 00:16:32,IRYS,7354488.2866,9207823.4459,1.252,1432305.3913,1984755.0998,44.3,44.2,0.2262
2026-05-27 00:17:32,IRYS,7270854.3222,9179144.1362,1.2625,1348671.4269,1956075.7901,44.3,44.2,0.2262
2026-05-27 00:18:32,IRYS,7330752.7586,9187354.8846,1.2533,1382794.963,1964286.5385,44.3,44.2,0.2262
2026-05-27 00:19:32,IRYS,7357830.7629,9150242.0349,1.2436,1409872.9672,1927173.6888,44.3,44.2,0.2262
2026-05-27 00:20:32,IRYS,7614876.4732,9284231.7015,1.2192,1578484.9008,2462577.7535,44.3,44.1,0.4535
2026-05-27 00:21:32,IRYS,7228152.3872,9144753.5634,1.2652,1250329.9531,2323095.9245,44.2,44.1,0.2268
2026-05-27 00:22:32,IRYS,7150898.9806,8811134.7641,1.2322,1265711.6308,2716747.7709,44.1,44,0.2273
2026-05-27 00:23:32,IRYS,8399809.6586,9116789.8784,1.0854,3153194.2248,3214157.4052,44,43.9,0.2278
2026-05-27 00:24:32,IRYS,6590718.6494,9551960.5485,1.4493,1765541.8366,3628099.9916,44,43.9,0.2278
2026-05-27 00:25:32,IRYS,6943404.5815,9693805.4654,1.3961,1735284.5196,3769614.0026,44.1,43.9,0.4556
2026-05-27 00:26:32,IRYS,6629455.768,9846515.9752,1.4853,1421335.7061,3922320.7875,44.1,43.9,0.4556
2026-05-27 00:27:32,IRYS,6261455.3114,9884771.6789,1.5787,1471824.6677,3847893.225,44,43.9,0.2278
2026-05-27 00:28:32,IRYS,6870216.7906,9897658.102,1.4407,1769646.3163,3860783.3731,44.1,43.9,0.4556
2026-05-27 00:29:32,IRYS,6584711.6841,9797680.2235,1.4879,1795081.0403,3760801.7697,44,43.9,0.2278
2026-05-27 00:30:32,IRYS,6575902.2249,10354647.6426,1.5746,1786465.5812,4294513.3748,44,43.9,0.2278
2026-05-27 00:31:32,IRYS,6705716.5589,9541110.4044,1.4228,2045287.551,3480976.1365,44,43.9,0.2278
2026-05-27 00:32:32,IRYS,6067520.6945,9452631.4839,1.5579,1497156.8876,3982028.9814,43.9,43.8,0.2283
2026-05-27 00:33:32,IRYS,6483186.4868,9700453.4377,1.4962,1799036.5093,3524469.1829,44,43.9,0.2278
2026-05-27 00:34:32,IRYS,6311754.4099,9968248.4739,1.5793,1716121.2091,3811206.9159,44,43.9,0.2278
2026-05-27 00:35:32,IRYS,6232234.2659,9978923.382,1.6012,1636601.0651,3806458.0615,44,43.9,0.2278
2026-05-27 00:36:32,IRYS,6208944.6835,10352705.9711,1.6674,1613311.4827,4203496.4645,44,43.9,0.2278
2026-05-27 00:37:32,IRYS,6317116.0666,9995369.0712,1.5823,1413531.3792,3469457.2779,44.1,44,0.2273
2026-05-27 00:38:32,IRYS,6213296.287,9990415.4978,1.6079,1309711.5996,3464503.7045,44.1,44,0.2273
2026-05-27 00:39:32,IRYS,6473983.6897,10220244.1543,1.5787,1569259.0022,3694332.361,44.1,44,0.2273
2026-05-27 00:40:32,IRYS,6305695.9451,10171362.8531,1.613,1400971.2576,3678637.6849,44.1,44,0.2273
