시각KST,종목,총매도잔량,총매수잔량,매수벽비율,상위5매도,상위5매수,최우선매도가,최우선매수가,스프레드%
2026-05-27 00:00:32,PRL,685979.0065,817037.1671,1.1911,196071.9315,585213.693,250,248,0.8065
2026-05-27 00:01:32,PRL,689465.3721,830220.1177,1.2042,199558.2971,598396.6436,250,248,0.8065
2026-05-27 00:02:32,PRL,747219.6134,786874.1082,1.0531,257531.8885,538949.6814,249,247,0.8097
2026-05-27 00:03:32,PRL,744717.019,805706.9601,1.0819,237697.5059,557782.5333,248,247,0.4049
2026-05-27 00:04:32,PRL,730118.1554,749774.7189,1.0269,240624.4305,517951.2449,249,248,0.4032
2026-05-27 00:05:32,PRL,727450.1964,742765.3496,1.0211,237956.4716,510941.8755,249,248,0.4032
2026-05-27 00:06:32,PRL,739463.8896,768163.8514,1.0388,249970.1647,536340.3773,249,248,0.4032
2026-05-27 00:07:32,PRL,739429.3114,752511.7659,1.0177,249935.5866,520688.2918,249,248,0.4032
2026-05-27 00:08:32,PRL,739455.5936,760659.6704,1.0287,249961.8687,528836.1963,249,248,0.4032
2026-05-27 00:09:32,PRL,731122.2603,769299.5079,1.0522,241628.5354,537476.0338,249,248,0.4032
2026-05-27 00:10:32,PRL,735106.2603,769299.5079,1.0465,245612.5354,537476.0338,249,248,0.4032
2026-05-27 00:11:32,PRL,732883.9755,769263.231,1.0496,243390.2507,537439.757,249,248,0.4032
2026-05-27 00:12:32,PRL,735971.0444,766895.8809,1.042,246477.3196,535072.4068,249,248,0.4032
2026-05-27 00:13:32,PRL,735675.9791,770030.3582,1.0467,246182.2543,538206.8842,249,248,0.4032
2026-05-27 00:14:32,PRL,714378.8259,762819.9294,1.0678,224728.101,548278.059,249,248,0.4032
2026-05-27 00:15:32,PRL,697197.3592,781887.3096,1.1215,207546.6344,567345.4393,249,248,0.4032
2026-05-27 00:16:32,PRL,697189.0632,794614.2161,1.1397,207538.3384,580072.3457,249,248,0.4032
2026-05-27 00:17:32,PRL,697197.3592,759145.3224,1.0889,207546.6344,544603.4521,249,248,0.4032
2026-05-27 00:18:32,PRL,697189.0632,783722.1986,1.1241,207538.3384,569180.3283,249,248,0.4032
2026-05-27 00:19:32,PRL,697189.0632,774039.0042,1.1102,207538.3384,559497.1339,249,248,0.4032
2026-05-27 00:20:32,PRL,691396.5429,752737.7498,1.0887,201745.8181,538195.8795,249,248,0.4032
2026-05-27 00:21:32,PRL,736407.2595,687312.9729,0.9333,246756.5347,472771.1025,249,248,0.4032
2026-05-27 00:22:32,PRL,733473.2764,653170.1935,0.8905,243859.5515,438628.3232,249,248,0.4032
2026-05-27 00:23:32,PRL,738719.3056,661466.6527,0.8954,249225.5808,446424.7823,249,248,0.4032
2026-05-27 00:24:32,PRL,728310.2884,670534.649,0.9207,238816.5636,455492.7787,249,248,0.4032
2026-05-27 00:25:32,PRL,728971.0485,688006.1069,0.9438,239477.3237,472964.2366,249,248,0.4032
2026-05-27 00:26:32,PRL,723870.1661,765103.9608,1.057,234376.4413,550062.0904,249,248,0.4032
2026-05-27 00:27:32,PRL,696495.4395,772628.1874,1.1093,207001.7146,557586.317,249,248,0.4032
2026-05-27 00:28:32,PRL,679952.9412,805024.426,1.1839,190239.8661,589982.5557,250,248,0.8065
2026-05-27 00:29:32,PRL,717197.8478,718485.933,1.0018,227704.1229,503444.0627,249,248,0.4032
2026-05-27 00:30:32,PRL,753509.0639,723206.2301,0.9598,264015.3391,498151.6255,249,248,0.4032
2026-05-27 00:31:32,PRL,792540.747,659350.6331,0.8319,285605.2339,400913.4721,248,247,0.4049
2026-05-27 00:32:32,PRL,795858.6116,663912.6492,0.8342,289039.0985,405475.4881,248,247,0.4049
2026-05-27 00:33:32,PRL,795523.8167,672075.1394,0.8448,288754.3036,413637.9783,248,247,0.4049
2026-05-27 00:34:32,PRL,795377.7034,715702.8964,0.8998,288608.1903,457265.7354,248,247,0.4049
2026-05-27 00:35:32,PRL,789320.8871,746127.0053,0.9453,282551.374,487689.8443,248,247,0.4049
2026-05-27 00:36:32,PRL,795275.6695,743620.9339,0.935,288506.1564,485183.7728,248,247,0.4049
2026-05-27 00:37:32,PRL,781214.5533,745796.6424,0.9547,274445.0401,487359.4813,248,247,0.4049
2026-05-27 00:38:32,PRL,769272.2064,746931.9935,0.971,262502.6933,488494.8324,248,247,0.4049
2026-05-27 00:39:32,PRL,773454.6235,735155.8225,0.9505,266685.1104,465213.9345,248,247,0.4049
