시각KST,종목,총매도잔량,총매수잔량,매수벽비율,상위5매도,상위5매수,최우선매도가,최우선매수가,스프레드%
2026-05-27 00:00:32,TRAC,242797.2526,118404.1968,0.4877,20489.0421,4528.4782,581,576,0.8681
2026-05-27 00:01:32,TRAC,179391.741,95597.4018,0.5329,20541.9965,2413.4354,581,578,0.519
2026-05-27 00:02:32,TRAC,129078.7737,103885.6356,0.8048,23475.5279,10787.4344,580,578,0.346
2026-05-27 00:03:32,TRAC,131893.9981,174794.9039,1.3253,23853.493,10787.4344,581,578,0.519
2026-05-27 00:04:32,TRAC,132261.9913,174794.9229,1.3216,23521.4353,10787.4344,581,578,0.519
2026-05-27 00:05:32,TRAC,132019.0867,194758.7599,1.4752,25803.665,10610.4528,580,578,0.346
2026-05-27 00:06:32,TRAC,133875.3234,122254.6059,0.9132,27659.9017,8962.0,580,578,0.346
2026-05-27 00:07:32,TRAC,132580.76,126451.8905,0.9538,23679.8858,6187.8339,581,580,0.1724
2026-05-27 00:08:32,TRAC,132580.76,124697.5045,0.9405,23679.8858,6187.8339,581,580,0.1724
2026-05-27 00:09:32,TRAC,129512.5055,120683.7817,0.9318,23297.0838,4792.9104,580,577,0.5199
2026-05-27 00:10:32,TRAC,125112.3015,118964.7741,0.9509,20221.7424,3038.6917,577,576,0.1736
2026-05-27 00:11:32,TRAC,129733.326,102474.0055,0.7899,23517.9043,6701.5917,577,576,0.1736
2026-05-27 00:12:32,TRAC,129733.326,122860.1213,0.947,23517.9043,12721.4416,577,576,0.1736
2026-05-27 00:13:32,TRAC,129733.326,118442.8244,0.913,23517.9043,13174.7726,577,576,0.1736
2026-05-27 00:14:32,TRAC,136781.5543,121942.4256,0.8915,23517.9043,13140.805,577,576,0.1736
2026-05-27 00:15:32,TRAC,129511.8638,121302.0515,0.9366,23296.4421,6441.7221,577,576,0.1736
2026-05-27 00:16:32,TRAC,118043.2255,121302.0515,1.0276,11827.8038,6441.7221,577,576,0.1736
2026-05-27 00:17:32,TRAC,118043.2255,165737.4433,1.404,11827.8038,56935.8227,577,576,0.1736
2026-05-27 00:18:32,TRAC,125091.4538,164434.952,1.3145,11827.8038,55633.3313,577,576,0.1736
2026-05-27 00:19:32,TRAC,128616.2096,143808.2558,1.1181,11828.4455,10450.3622,580,578,0.346
2026-05-27 00:20:32,TRAC,128607.5881,143788.0982,1.118,11819.824,10430.2046,580,578,0.346
2026-05-27 00:21:32,TRAC,128607.5881,146076.4548,1.1358,11819.824,10430.2046,580,578,0.346
2026-05-27 00:22:32,TRAC,128607.5881,144198.0505,1.1212,11819.824,11238.4627,580,578,0.346
2026-05-27 00:23:32,TRAC,128544.6881,164637.0604,1.2808,11756.924,13998.7455,580,578,0.346
2026-05-27 00:24:32,TRAC,128782.1273,164364.1415,1.2763,11994.3632,13750.2576,580,578,0.346
2026-05-27 00:25:32,TRAC,128845.0273,164405.8605,1.276,12057.2632,13791.9765,580,578,0.346
2026-05-27 00:26:32,TRAC,128845.0273,164387.9575,1.2759,12057.2632,13791.9765,580,578,0.346
2026-05-27 00:27:32,TRAC,128845.0273,164444.6935,1.2763,12057.2632,13791.9765,580,578,0.346
2026-05-27 00:28:32,TRAC,126741.6845,161100.7319,1.2711,11278.783,13687.5889,578,577,0.1733
2026-05-27 00:29:32,TRAC,126741.6845,163549.9578,1.2904,11278.783,55738.2909,578,577,0.1733
2026-05-27 00:30:32,TRAC,125765.6561,163549.9578,1.3004,11278.783,55738.2909,578,577,0.1733
2026-05-27 00:31:32,TRAC,122165.6561,163518.6435,1.3385,7678.783,55712.8955,578,577,0.1733
2026-05-27 00:32:32,TRAC,122165.6561,163494.1024,1.3383,7678.783,57760.9083,578,577,0.1733
2026-05-27 00:33:32,TRAC,121337.7446,127235.6079,1.0486,6850.8714,21797.1843,578,577,0.1733
2026-05-27 00:34:32,TRAC,120599.3739,124595.4772,1.0331,6112.5007,19157.0536,578,577,0.1733
2026-05-27 00:35:32,TRAC,115163.316,126215.0897,1.096,3482.5009,24749.3272,577,576,0.1736
2026-05-27 00:36:32,TRAC,120599.3739,126149.7347,1.046,6112.5007,24749.3272,578,576,0.3472
2026-05-27 00:37:32,TRAC,124199.3739,126149.7347,1.0157,9712.5007,24749.3272,578,576,0.3472
2026-05-27 00:38:32,TRAC,119962.4626,124951.2601,1.0416,6010.4574,23509.8605,578,576,0.3472
2026-05-27 00:39:32,TRAC,119962.4626,124951.2601,1.0416,6010.4574,23509.8605,578,576,0.3472
2026-05-27 00:40:32,TRAC,127111.527,175956.2264,1.3843,11834.6592,80962.9387,580,578,0.346
2026-05-27 00:41:32,TRAC,131477.8087,97750.8267,0.7435,13515.4883,8887.8162,581,580,0.1724
2026-05-27 00:42:32,TRAC,132248.2368,123536.9646,0.9341,13515.4883,14354.8348,581,580,0.1724
2026-05-27 00:43:32,TRAC,132248.2368,109712.5873,0.8296,13515.4883,14547.6133,581,580,0.1724
2026-05-27 00:44:32,TRAC,131754.1,109206.7187,0.8289,13021.3515,14052.6247,581,580,0.1724
2026-05-27 00:45:32,TRAC,131754.1,109206.7187,0.8289,13021.3515,14052.6247,581,580,0.1724
