시각KST,종목,체결강도%,매수액,매도액,거래대금,체결수,메이저
2026-05-27 00:05:45,PRL,9999.0,19830,0,19830,1,
2026-05-27 00:10:45,PRL,9999.0,10000,0,10000,1,
2026-05-27 00:23:45,PRL,0.0,0,1154082,1154082,4,
2026-05-27 00:27:45,PRL,9999.0,72875,0,72875,1,
2026-05-27 00:30:45,PRL,0.0,0,151528,151528,1,
2026-05-27 00:37:45,PRL,9999.0,90000,0,90000,1,
2026-05-27 00:38:45,PRL,9999.0,506225,0,506225,1,
2026-05-27 00:42:45,PRL,9999.0,270410,0,270410,7,
2026-05-27 00:43:45,PRL,0.0,0,7272,7272,1,
2026-05-27 00:45:45,PRL,12.0,65000,542328,607328,4,
2026-05-27 00:51:45,PRL,2.5,24800,1000000,1024800,11,
2026-05-27 00:52:45,PRL,0.0,0,808879,808879,1,
2026-05-27 00:53:45,PRL,0.0,0,1473933,1473933,6,
2026-05-27 01:04:46,PRL,0.0,0,1091471,1091471,2,
2026-05-27 01:05:46,PRL,435.5,838897,192648,1031546,4,
2026-05-27 01:09:46,PRL,117.4,593695,505813,1099508,6,
2026-05-27 01:32:46,PRL,0.0,0,319062,319062,2,
2026-05-27 01:35:46,PRL,7.8,5034,64237,69271,4,
2026-05-27 01:38:46,PRL,9999.0,377677,0,377677,5,
2026-05-27 01:39:46,PRL,9999.0,5095,0,5095,1,
2026-05-27 01:46:46,PRL,9999.0,10000,0,10000,1,
2026-05-27 01:50:46,PRL,0.0,0,84228,84228,2,
2026-05-27 01:56:46,PRL,9999.0,30000,0,30000,1,
2026-05-27 02:04:46,PRL,0.0,0,1035705,1035705,1,
2026-05-27 02:06:46,PRL,0.0,0,94424,94424,1,
2026-05-27 02:15:46,PRL,9999.0,10000,0,10000,1,
2026-05-27 02:18:46,PRL,0.0,0,1505718,1505718,4,
2026-05-27 02:19:46,PRL,0.0,0,5952,5952,1,
2026-05-27 02:21:46,PRL,0.0,0,274485,274485,5,
2026-05-27 02:22:46,PRL,0.0,0,138006,138006,2,
2026-05-27 02:23:46,PRL,9999.0,9963,0,9963,1,
2026-05-27 02:26:46,PRL,6.8,1500000,21898325,23398325,39,
2026-05-27 02:27:46,PRL,0.0,0,390400,390400,1,
2026-05-27 02:29:46,PRL,9999.0,13157,0,13157,1,
2026-05-27 02:30:46,PRL,0.0,0,1392149,1392149,5,
2026-05-27 02:31:46,PRL,0.0,0,5804816,5804816,9,
2026-05-27 02:33:46,PRL,0.0,0,6097,6097,1,
2026-05-27 02:34:46,PRL,9999.0,1924566,0,1924566,2,
2026-05-27 02:35:46,PRL,0.0,0,75434,75434,1,
2026-05-27 02:36:46,PRL,0.0,0,343064,343064,1,
2026-05-27 02:37:46,PRL,7.0,84065,1193012,1277077,5,
2026-05-27 02:38:46,PRL,0.0,0,687157,687157,5,
2026-05-27 02:39:46,PRL,0.0,0,302560,302560,2,
2026-05-27 02:40:46,PRL,0.0,0,3303112,3303112,1,
2026-05-27 02:42:46,PRL,9999.0,98490,0,98490,1,
2026-05-27 02:43:46,PRL,9999.0,246225,0,246225,3,
2026-05-27 02:45:46,PRL,0.0,0,1135648,1135648,2,
2026-05-27 02:46:46,PRL,9999.0,5050,0,5050,1,
2026-05-27 02:53:46,PRL,9999.0,5050,0,5050,1,
2026-05-27 03:01:46,PRL,9999.0,2000000,0,2000000,5,
2026-05-27 03:03:46,PRL,5.0,49044,975370,1024414,4,
2026-05-27 03:04:46,PRL,0.0,0,963685,963685,3,
2026-05-27 03:07:46,PRL,0.1,13157,19063191,19076348,16,
2026-05-27 03:15:46,PRL,9999.0,13157,0,13157,1,
2026-05-27 03:16:46,PRL,9999.0,204960,0,204960,1,
2026-05-27 03:19:46,PRL,0.0,0,101930,101930,1,
2026-05-27 03:20:46,PRL,9999.0,803166,0,803166,2,
2026-05-27 03:23:46,PRL,133.7,13157,9842,22999,2,
2026-05-27 03:28:46,PRL,0.0,0,819050,819050,4,
2026-05-27 03:30:46,PRL,9999.0,13157,0,13157,1,
2026-05-27 03:34:46,PRL,0.0,0,97228,97228,1,
2026-05-27 03:37:46,PRL,0.0,0,19149,19149,2,
2026-05-27 03:38:46,PRL,9999.0,13157,0,13157,1,
2026-05-27 03:40:46,PRL,9999.0,9794,0,9794,1,
2026-05-27 03:41:46,PRL,0.0,0,5593757,5593757,16,
2026-05-27 03:43:46,PRL,0.0,0,181666,181666,1,
2026-05-27 03:44:46,PRL,0.0,0,500000,500000,1,
2026-05-27 03:45:46,PRL,9999.0,21857,0,21857,2,
2026-05-27 03:47:46,PRL,0.0,0,849523,849523,5,
2026-05-27 03:51:46,PRL,0.0,0,1027265,1027265,1,
2026-05-27 03:52:46,PRL,0.0,0,667233,667233,1,
2026-05-27 03:58:46,PRL,0.0,0,1063839,1063839,7,
2026-05-27 04:10:46,PRL,9999.0,100000,0,100000,1,
2026-05-27 04:11:46,PRL,9999.0,100000,0,100000,1,
2026-05-27 04:13:46,PRL,9999.0,200000,0,200000,1,
2026-05-27 04:14:46,PRL,9999.0,300000,0,300000,1,
2026-05-27 04:20:46,PRL,9999.0,110010,0,110010,2,
2026-05-27 04:21:46,PRL,9999.0,115610,0,115610,1,
2026-05-27 04:29:46,PRL,0.0,0,11063,11063,1,
2026-05-27 04:30:46,PRL,0.0,0,106015,106015,1,
2026-05-27 04:33:46,PRL,0.0,0,52095,52095,1,
2026-05-27 04:34:46,PRL,0.0,0,9091607,9091607,6,
2026-05-27 04:36:46,PRL,0.0,0,26379561,26379561,8,
2026-05-27 04:37:46,PRL,0.0,0,11128410,11128410,2,
2026-05-27 04:39:46,PRL,9999.0,13157,0,13157,1,
2026-05-27 04:41:46,PRL,9999.0,10000,0,10000,1,
2026-05-27 04:48:46,PRL,9999.0,754865,0,754865,1,
2026-05-27 04:50:46,PRL,0.0,0,2160085,2160085,4,
2026-05-27 04:51:46,PRL,0.0,0,1652400,1652400,1,
2026-05-27 04:54:46,PRL,0.0,0,430152,430152,1,
2026-05-27 05:01:46,PRL,9999.0,10041,0,10041,1,
2026-05-27 05:02:46,PRL,9999.0,24400,0,24400,1,
2026-05-27 05:05:46,PRL,9999.0,24400,0,24400,1,
2026-05-27 05:07:46,PRL,9999.0,999500,0,999500,1,
2026-05-27 05:08:46,PRL,0.0,0,97200,97200,3,
2026-05-27 05:09:46,PRL,9999.0,24300,0,24300,1,
2026-05-27 05:32:46,PRL,0.0,0,6285491,6285491,2,
2026-05-27 05:33:46,PRL,40.9,3397034,8306141,11703175,11,
2026-05-27 05:34:46,PRL,9999.0,100000,0,100000,1,
2026-05-27 05:36:46,PRL,0.1,12000,13269607,13281607,14,
2026-05-27 05:37:46,PRL,37.7,18250730,48362209,66612939,51,
2026-05-27 05:38:46,PRL,40.3,11201630,27799235,39000864,30,
2026-05-27 05:39:46,PRL,23.4,3163171,13518243,16681414,10,
2026-05-27 05:40:46,PRL,0.1,13157,22200382,22213539,9,
2026-05-27 05:44:46,PRL,0.0,0,243989,243989,2,
2026-05-27 05:45:46,PRL,0.0,0,9633,9633,1,
2026-05-27 05:47:46,PRL,0.0,0,40168,40168,1,
2026-05-27 05:50:46,PRL,0.0,0,421640,421640,3,
2026-05-27 06:01:46,PRL,0.0,0,188460,188460,3,
2026-05-27 06:05:46,PRL,37.3,150415,402830,553245,4,
2026-05-27 06:07:46,PRL,0.0,0,335231,335231,3,
2026-05-27 06:08:46,PRL,0.0,0,4438,4438,1,
