시각KST,종목,체결강도%,매수액,매도액,거래대금,체결수,메이저
2026-05-27 00:01:45,TRAC,9999.0,545234,0,545234,1,
2026-05-27 00:03:45,TRAC,9999.0,75783,0,75783,3,
2026-05-27 00:04:45,TRAC,58.9,192925,327309,520234,5,
2026-05-27 00:05:45,TRAC,9999.0,20000,0,20000,1,
2026-05-27 00:07:45,TRAC,3.5,54809,1546524,1601333,4,
2026-05-27 00:09:45,TRAC,0.0,0,3235349,3235349,8,
2026-05-27 00:12:45,TRAC,0.0,0,53003,53003,2,
2026-05-27 00:14:45,TRAC,0.0,0,19565,19565,1,
2026-05-27 00:15:45,TRAC,38.9,127784,328495,456279,3,
2026-05-27 00:18:45,TRAC,0.0,0,10263,10263,1,
2026-05-27 00:19:45,TRAC,1442.6,72216,5006,77222,2,
2026-05-27 00:20:45,TRAC,78.9,5000,6338,11338,2,
2026-05-27 00:22:45,TRAC,0.0,0,95806,95806,2,
2026-05-27 00:24:45,TRAC,0.0,0,143626,143626,2,
2026-05-27 00:27:45,TRAC,0.0,0,76447,76447,2,
2026-05-27 00:33:45,TRAC,9999.0,867000,0,867000,1,
2026-05-27 00:34:45,TRAC,0.0,0,1911150,1911150,2,
2026-05-27 00:35:45,TRAC,0.0,0,1973992,1973992,1,
2026-05-27 00:38:45,TRAC,0.0,0,713933,713933,3,
2026-05-27 00:39:45,TRAC,9999.0,660932,0,660932,2,
2026-05-27 00:40:45,TRAC,9999.0,101233,0,101233,2,
2026-05-27 00:41:45,TRAC,9999.0,5610,0,5610,1,
2026-05-27 00:44:45,TRAC,9999.0,287093,0,287093,3,
2026-05-27 00:49:45,TRAC,0.0,0,91996,91996,1,
2026-05-27 00:50:45,TRAC,9999.0,2718409,0,2718409,13,
2026-05-27 00:53:45,TRAC,9999.0,45527,0,45527,4,
2026-05-27 00:54:46,TRAC,9999.0,1329279,0,1329279,4,
2026-05-27 00:58:46,TRAC,9999.0,20000,0,20000,1,
2026-05-27 01:01:46,TRAC,322.4,616259,191149,807408,11,
2026-05-27 01:04:46,TRAC,1110.4,461072,41523,502595,5,
2026-05-27 01:05:46,TRAC,9999.0,3819297,0,3819297,3,
2026-05-27 01:06:46,TRAC,437.1,1229638,281322,1510960,24,
2026-05-27 01:07:46,TRAC,9999.0,49543,0,49543,2,
2026-05-27 01:08:46,TRAC,134.8,42267,31366,73633,11,
2026-05-27 01:09:46,TRAC,9999.0,829131,0,829131,4,
2026-05-27 01:10:46,TRAC,1.0,11600,1108985,1120585,5,
2026-05-27 01:11:46,TRAC,9999.0,5562,0,5562,1,
2026-05-27 01:14:46,TRAC,0.0,0,36859,36859,1,
2026-05-27 01:15:46,TRAC,2.2,46927,2090236,2137163,7,
2026-05-27 01:16:46,TRAC,34.8,52655,151373,204028,5,
2026-05-27 01:17:46,TRAC,9999.0,649967,0,649967,2,
2026-05-27 01:22:46,TRAC,98.9,5562,5622,11185,3,
