종목,봇개입,순매집,봇비율,봇종류수,첫봇시각,봇마지막시각,종가,저가,고가,틱수,전체체결액,대표봇수량,대표봇횟수,대표봇순액
WLD,6420239123,534911729,1.182,247,2026-06-08 00:00:00,2026-06-08 03:15:16,738.0,711.0,778.0,17415,36712299343,50000.0,71,-38200000
H,496123697,41518824,1.183,159,2026-06-08 00:00:02,2026-06-08 03:15:39,1223.0,1170.0,1292.0,11858,9359219591,1149.2866,78,13643181
SAHARA,434132841,-355211278,0.1,56,2026-06-08 00:00:01,2026-06-08 03:15:37,54.69,51.62,55.14,7913,1354558113,2325.1375,316,-38652179
OSMO,283890723,4513427,1.032,327,2026-06-08 00:00:10,2026-06-08 03:15:29,73.71,64.7,82.88,15384,3254526343,4013.9478,284,10165483
NEAR,282937957,-15130631,0.898,108,2026-06-08 00:00:23,2026-06-08 03:14:33,3105.0,2990.0,3344.0,5751,3028273596,656.3832,64,20542169
EDEN,243936096,21752275,1.196,113,2026-06-08 00:00:00,2026-06-08 03:13:55,78.87,75.73,83.82,20551,3526540139,69703.7156,11,-16845297
HOME,221619280,10039504,1.095,197,2026-06-08 00:00:09,2026-06-08 03:15:12,49.69,46.65,56.1,10157,2475011237,4064.7225,273,10488569
DAO,168155817,31211894,1.456,82,2026-06-08 00:00:36,2026-06-08 03:15:03,60.24,43.12,63.94,13177,3495112353,14105.3669,97,11437055
ALLO,148321290,32830231,1.569,52,2026-06-08 00:00:11,2026-06-08 03:13:28,463.0,452.0,492.0,4103,4078019623,938.6955,104,5222902
PEPE,147902502,141834311,47.747,10,2026-06-08 01:16:56,2026-06-08 01:56:22,0.0043,0.0041,0.0043,350,553039689,1951219512.1951,13,106536585
MEGA,80105596,17607772,1.563,34,2026-06-08 00:00:03,2026-06-08 03:15:23,73.52,68.52,79.41,4532,1684267615,3239.6006,113,4546196
GWEI,64955867,-8465763,0.769,16,2026-06-08 00:01:32,2026-06-08 03:13:29,198.0,194.0,203.0,1394,650610896,6010.675,11,-6010675
EDGEX,62574754,-8522318,0.76,16,2026-06-08 00:00:11,2026-06-08 03:11:44,714.0,689.0,714.0,789,264518782,3987.1215,12,-5498241
D,62044704,-18826255,0.534,41,2026-06-08 00:00:38,2026-06-08 03:12:19,8.357,8.342,9.132,1751,483450743,316737.1011,15,-25107433
COS,60069017,3046429,1.107,20,2026-06-08 00:01:48,2026-06-08 02:48:04,1.015,1.001,1.154,2890,1073674097,214748.3647,162,-4511648
ONDO,57191984,18865085,1.984,12,2026-06-08 00:00:43,2026-06-08 03:10:40,525.0,518.0,535.0,1364,1836544044,5383.5798,13,14185733
STRK,48040982,2864953,1.127,4,2026-06-08 00:20:08,2026-06-08 02:44:33,50.6,50.41,51.19,169,177110954,55582.1115,17,2814678
ENA,41322897,16485379,2.327,14,2026-06-08 00:24:15,2026-06-08 02:55:14,136.0,135.0,140.0,541,898303309,18248.1752,12,5218978
LIT,34801170,11340401,1.967,5,2026-06-08 00:00:13,2026-06-08 02:55:52,2079.0,2039.0,2124.0,327,99966538,1313.2407,10,10804032
XLM,29180641,8991529,1.891,26,2026-06-08 00:01:10,2026-06-08 03:05:23,314.0,304.0,318.0,1345,2123928699,3225.8065,8,8000000
B3,23124948,-1976500,0.843,24,2026-06-08 00:03:00,2026-06-08 01:57:23,0.8691,0.8525,0.9194,1325,232076538,3199388.277,6,-87983
AVAIL,21392175,-2566464,0.786,6,2026-06-08 00:32:01,2026-06-08 03:10:54,5.118,5.01,5.28,474,74680026,100000.0,41,-2437600
UOS,21121479,19399177,23.527,12,2026-06-08 00:06:46,2026-06-08 02:13:17,6.958,6.501,7.576,14118,456445022,204.0,6422,9575020
