시각KST,종목,체결강도%,매수액,매도액,거래대금,체결수,메이저
2026-05-26 00:00:41,IN,1109.4,37378165,3369101,40747266,47,
2026-05-26 00:01:41,IN,5.6,6429663,115251554,121681217,69,
2026-05-26 00:02:41,IN,61.9,31184521,50376605,81561126,51,
2026-05-26 00:03:41,IN,10.4,7753477,74281052,82034529,57,
2026-05-26 00:04:41,IN,28.0,800407,2854045,3654452,24,
2026-05-26 00:05:41,IN,202397.6,70272453,34720,70307173,91,
2026-05-26 00:06:41,IN,12.8,8390391,65585544,73975936,97,
2026-05-26 00:07:41,IN,2379.5,9987218,419715,10406934,43,
2026-05-26 00:08:41,IN,416.9,12637331,3031437,15668768,43,
2026-05-26 00:09:41,IN,687.0,8456740,1230990,9687730,27,
2026-05-26 00:10:41,IN,55.9,29136816,52154948,81291764,63,
2026-05-26 00:11:41,IN,12026.6,7408505,61601,7470106,20,
2026-05-26 00:12:41,IN,2.3,1537298,68137348,69674646,32,
2026-05-26 00:13:41,IN,0.0,0,8496881,8496881,10,
2026-05-26 00:14:41,IN,1.9,475633,24624235,25099868,27,
2026-05-26 00:15:41,IN,3323.7,16245586,488774,16734360,66,
2026-05-26 00:16:41,IN,82.9,5543299,6687009,12230308,45,
2026-05-26 00:17:41,IN,667.6,38345682,5744227,44089909,112,
2026-05-26 00:18:41,IN,4911.5,2214075,45080,2259155,20,
2026-05-26 00:19:41,IN,944.2,4915464,520622,5436086,52,
2026-05-26 00:20:41,IN,3.5,667071,19026666,19693737,27,
2026-05-26 00:21:41,IN,5.2,1033018,19881078,20914095,17,
2026-05-26 00:22:41,IN,60.2,9056764,15046948,24103712,29,
2026-05-26 00:23:41,IN,2.9,1155217,39298964,40454181,51,
2026-05-26 00:24:41,IN,51.0,24379902,47798795,72178697,57,
2026-05-26 00:25:41,IN,731.6,24252236,3314984,27567220,51,
2026-05-26 00:26:41,IN,85.5,7951595,9305323,17256917,50,
2026-05-26 00:27:41,IN,161.9,6980709,4312540,11293249,27,
2026-05-26 00:28:41,IN,7.5,4917196,65269144,70186340,59,
2026-05-26 00:29:41,IN,9999.0,7196110,0,7196110,28,
2026-05-26 00:30:41,IN,5.7,11239276,198445900,209685175,119,
2026-05-26 00:31:41,IN,522.9,29517916,5644701,35162617,34,
2026-05-26 00:32:41,IN,250.8,16305746,6501079,22806825,35,
2026-05-26 00:33:41,IN,15.5,3974549,25673519,29648068,18,
2026-05-26 00:34:41,IN,13.5,5526534,41051713,46578247,17,
2026-05-26 00:35:41,IN,1.5,734854,47601608,48336463,25,
2026-05-26 00:36:41,IN,104.1,4122022,3959468,8081490,21,
2026-05-26 00:37:41,IN,403.5,12260770,3038726,15299495,49,
2026-05-26 00:38:41,IN,0.0,0,2254617,2254617,7,
2026-05-26 00:39:41,IN,17.3,1197756,6906356,8104112,14,
2026-05-26 00:40:41,IN,3.8,391399,10322735,10714134,8,
2026-05-26 00:41:41,IN,1021.6,15827307,1549226,17376533,78,
2026-05-26 00:42:41,IN,665.0,11687906,1757704,13445611,58,
2026-05-26 00:43:41,IN,309.9,8439650,2723561,11163210,74,
2026-05-26 00:44:41,IN,407.9,73088857,17916945,91005802,69,
2026-05-26 00:45:41,IN,43.1,5833627,13535384,19369011,51,
2026-05-26 00:46:41,IN,0.0,0,957854,957854,3,
2026-05-26 00:47:41,IN,0.0,0,5835521,5835521,8,
2026-05-26 00:48:41,IN,0.1,38009,34307596,34345605,16,
2026-05-26 00:49:41,IN,582.6,17531506,3009053,20540559,104,
2026-05-26 00:50:41,IN,444.3,1119141,251887,1371029,6,
2026-05-26 00:51:41,IN,175.4,66229599,37760803,103990402,30,
2026-05-26 00:52:41,IN,0.0,0,1252644,1252644,2,
2026-05-26 00:53:41,IN,9999.0,2505495,0,2505495,13,
2026-05-26 00:54:41,IN,362.4,16288931,4494984,20783915,68,
2026-05-26 00:55:41,IN,338.1,2835941,838862,3674803,21,
2026-05-26 00:56:41,IN,614.0,648814,105667,754481,5,
2026-05-26 00:57:41,IN,1092.6,21387261,1957543,23344803,29,
2026-05-26 00:58:41,IN,1248.6,4465574,357638,4823212,52,
2026-05-26 00:59:41,IN,615.5,53528552,8696368,62224921,137,
2026-05-26 01:00:41,IN,103.9,3378643,3251347,6629989,36,
2026-05-26 01:01:42,IN,19511.8,5933111,30408,5963518,22,
2026-05-26 01:02:42,IN,86865.1,11373709,13094,11386802,20,
2026-05-26 01:03:42,IN,50.2,12339126,24569248,36908374,33,
2026-05-26 01:04:42,IN,51.1,35241672,68925996,104167668,92,
2026-05-26 01:05:42,IN,10.3,240800,2331701,2572501,7,
2026-05-26 01:06:42,IN,6.4,1050670,16419613,17470284,16,
2026-05-26 01:07:42,IN,3783.8,10714650,283173,10997822,18,
2026-05-26 01:08:42,IN,143.1,515045,359995,875040,4,
2026-05-26 01:09:42,IN,27.6,547010,1985444,2532454,8,
2026-05-26 01:10:42,IN,1077.9,9497338,881128,10378466,13,
2026-05-26 01:11:42,IN,9999.0,1248768,0,1248768,2,
2026-05-26 01:12:42,IN,69.3,1481307,2136693,3618000,10,
2026-05-26 01:13:42,IN,20.7,540000,2614472,3154472,10,
2026-05-26 01:14:42,IN,9999.0,230184,0,230184,2,
2026-05-26 01:15:42,IN,121.0,2928951,2421350,5350301,5,
2026-05-26 01:16:42,IN,0.0,0,6614637,6614637,7,
2026-05-26 01:17:42,IN,15.6,7759216,49700644,57459860,49,
2026-05-26 01:18:42,IN,23.9,50945,213120,264065,10,
2026-05-26 01:19:42,IN,490.4,16548521,3374583,19923104,21,
2026-05-26 01:20:42,IN,0.9,1033371,113712396,114745767,101,
2026-05-26 01:21:42,IN,30.1,39990619,133061962,173052581,186,
2026-05-26 01:22:42,IN,482.2,31629657,6558873,38188530,68,
2026-05-26 01:23:42,IN,78.3,7623746,9735971,17359717,32,
2026-05-26 01:24:42,IN,363.5,20243722,5568368,25812089,32,
2026-05-26 01:25:42,IN,210.1,6928204,3298085,10226289,45,
2026-05-26 01:26:42,IN,6.9,771483,11164384,11935867,15,
2026-05-26 01:27:42,IN,0.4,22590,5045298,5067888,5,
2026-05-26 01:28:42,IN,6.4,534552,8369257,8903809,15,
2026-05-26 01:29:42,IN,129.3,3999279,3092022,7091301,25,
2026-05-26 01:30:42,IN,65.5,519467,792980,1312447,4,
2026-05-26 01:31:42,IN,1.4,1445760,105222215,106667974,82,
2026-05-26 01:32:42,IN,5.9,1567334,26726940,28294275,40,
2026-05-26 01:33:42,IN,48.8,2505181,5135712,7640893,28,
2026-05-26 01:34:42,IN,155.7,3928661,2522522,6451183,50,
2026-05-26 01:35:42,IN,2344.2,22281730,950524,23232255,97,
2026-05-26 01:36:42,IN,9999.0,20241005,0,20241005,43,
2026-05-26 01:37:42,IN,37.8,1869852,4951248,6821100,20,
2026-05-26 01:38:42,IN,6.9,267291,3870834,4138124,7,
2026-05-26 01:39:42,IN,4.4,2584545,59232631,61817176,26,
2026-05-26 01:40:42,IN,39.3,2491021,6333392,8824413,22,
2026-05-26 01:41:42,IN,300.8,3415655,1135685,4551339,21,
2026-05-26 01:42:42,IN,80.8,3732198,4620198,8352397,46,
2026-05-26 01:43:42,IN,9999.0,1912775,0,1912775,4,
2026-05-26 01:44:42,IN,68.2,1497033,2193701,3690734,9,
2026-05-26 01:45:42,IN,7.8,705946,9000521,9706467,12,
2026-05-26 01:46:42,IN,2.6,2894513,112920222,115814735,87,
2026-05-26 01:47:42,IN,155.9,4005117,2568560,6573677,54,
2026-05-26 01:48:42,IN,22.5,1875553,8351777,10227330,54,
2026-05-26 01:49:42,IN,1789.5,14788642,826425,15615067,21,
2026-05-26 01:50:42,IN,228.4,6736555,2949294,9685849,69,
2026-05-26 01:51:42,IN,45.1,6188019,13713366,19901385,50,
2026-05-26 01:52:42,IN,3170.2,55597344,1753728,57351073,62,
2026-05-26 01:53:42,IN,36.1,9831091,27243757,37074849,22,
2026-05-26 01:54:42,IN,265.0,3562922,1344693,4907615,21,
2026-05-26 01:55:42,IN,9999.0,20000,0,20000,2,
2026-05-26 01:56:42,IN,9999.0,877206,0,877206,3,
2026-05-26 01:57:42,IN,19.8,288959,1459078,1748037,8,
2026-05-26 01:58:42,IN,0.8,19868,2626989,2646857,8,
2026-05-26 01:59:42,IN,82.4,3889162,4721669,8610831,10,
2026-05-26 02:00:42,IN,100.0,9045882,9049475,18095357,29,
2026-05-26 02:01:42,IN,31.7,912695,2878693,3791388,14,
2026-05-26 02:02:42,IN,60.2,7303013,12128034,19431047,33,
2026-05-26 02:03:42,IN,135.5,573358,423087,996445,10,
2026-05-26 02:04:42,IN,9999.0,3024993,0,3024993,6,
2026-05-26 02:05:42,IN,11.0,533196,4863162,5396357,14,
2026-05-26 02:06:42,IN,120.6,4325819,3585593,7911412,8,
2026-05-26 02:07:42,IN,33.1,1417913,4282058,5699970,16,
