시각KST,종목,총매도잔량,총매수잔량,매수벽비율,상위5매도,상위5매수,최우선매도가,최우선매수가,스프레드%
2026-05-26 03:42:11,IN,9444140.9321,6856179.3862,0.726,3732061.8101,1946938.6573,136,135,0.7407
2026-05-26 03:42:32,IN,9451707.1821,6855761.8758,0.7253,3739628.0601,1946521.1469,136,135,0.7407
2026-05-26 03:43:32,IN,9451539.9263,6865324.0167,0.7264,3735933.2673,1949936.9534,136,135,0.7407
2026-05-26 03:44:32,IN,9458538.3792,6863693.3811,0.7257,3742931.7203,1948306.3178,136,135,0.7407
2026-05-26 03:45:32,IN,9348671.3618,6881536.9424,0.7361,3499692.7717,1966149.8791,136,135,0.7407
2026-05-26 03:46:32,IN,9158054.7053,6866103.7814,0.7497,3309076.1153,1950716.718,136,135,0.7407
2026-05-26 03:47:32,IN,9545280.885,7121385.1298,0.7461,3766525.5798,2105103.7301,137,136,0.7353
2026-05-26 03:48:32,IN,9539060.6076,7125282.2742,0.747,3760394.1652,2109000.8745,137,136,0.7353
2026-05-26 03:49:32,IN,8759831.4249,7199429.0051,0.8219,2968034.9826,2183147.6055,137,136,0.7353
2026-05-26 03:50:32,IN,8975759.6345,7181271.0379,0.8001,3210914.6294,2164989.6383,137,136,0.7353
2026-05-26 03:51:32,IN,8666455.1342,7162167.9764,0.8264,3458232.7579,1877512.7817,138,137,0.7299
2026-05-26 03:52:32,IN,9104951.3518,6987960.2619,0.7675,3310126.9905,1972162.3968,137,136,0.7353
2026-05-26 03:53:32,IN,9035564.8722,6980322.8166,0.7725,3240740.5108,1984546.2819,137,136,0.7353
2026-05-26 03:54:32,IN,9032927.4445,6633928.2625,0.7344,3251233.0832,1744632.5681,137,136,0.7353
2026-05-26 03:55:32,IN,8980920.3219,6624771.8441,0.7376,3073999.7048,1836370.486,136,135,0.7407
2026-05-26 03:56:32,IN,9047795.0195,6700345.2348,0.7406,3270572.265,1817268.2168,137,136,0.7353
2026-05-26 03:57:32,IN,9169755.7644,6625937.7684,0.7226,3260502.7246,1843755.0867,136,135,0.7407
2026-05-26 03:58:32,IN,9070923.4993,6583088.2369,0.7257,3160899.2421,1861109.2073,136,135,0.7407
2026-05-26 03:59:32,IN,8981763.2497,6471452.1348,0.7205,3071738.9924,1719473.1051,136,135,0.7407
2026-05-26 04:00:32,IN,8856861.1978,6481564.9902,0.7318,3058163.6972,1667049.5626,137,136,0.7353
2026-05-26 04:01:32,IN,8938647.6036,6669348.7486,0.7461,3115258.8497,1920151.9178,137,136,0.7353
2026-05-26 04:02:32,IN,8888193.5737,6663508.6098,0.7497,3068946.3022,1914311.7791,137,136,0.7353
2026-05-26 04:03:32,IN,8899449.6469,6647976.2112,0.747,3080202.3754,1920269.8006,137,136,0.7353
2026-05-26 04:04:32,IN,8311270.9313,7016325.3048,0.8442,3081436.164,2193698.7115,138,137,0.7299
2026-05-26 04:05:32,IN,8442180.0307,6498920.3048,0.7698,3212345.2634,1671829.7003,138,137,0.7299
2026-05-26 04:06:32,IN,8929227.463,6423638.8235,0.7194,3005301.7346,1694608.3311,137,136,0.7353
2026-05-26 04:07:32,IN,8904732.3387,6577098.3841,0.7386,3128133.4544,1822134.4655,137,136,0.7353
2026-05-26 04:08:32,IN,8908701.6595,6507550.2848,0.7305,3132102.7753,1752586.3662,137,136,0.7353
2026-05-26 04:09:32,IN,8922010.5795,6514921.881,0.7302,3145361.6953,1759957.9624,137,136,0.7353
2026-05-26 04:10:32,IN,8893502.9732,6469768.9699,0.7275,3147493.618,1714805.0513,137,136,0.7353
2026-05-26 04:11:32,IN,8816098.094,6511413.4854,0.7386,3035606.9134,1756449.5668,137,136,0.7353
2026-05-26 04:12:32,IN,8610189.5086,6512158.5485,0.7563,2831953.9671,1757194.6299,137,136,0.7353
2026-05-26 04:13:32,IN,8757695.914,6191963.5473,0.707,2979460.3725,1436999.6287,137,136,0.7353
2026-05-26 04:14:32,IN,8858039.9262,6268804.4772,0.7077,2857892.7629,1583203.4926,136,135,0.7407
2026-05-26 04:15:32,IN,8825604.7274,6360844.4752,0.7207,3047369.1859,1605880.5566,137,136,0.7353
2026-05-26 04:16:32,IN,8842431.9388,6500804.5093,0.7352,3064813.6812,1745840.5907,137,136,0.7353
2026-05-26 04:17:32,IN,8715498.5697,6461765.8072,0.7414,3031617.9502,1706801.8886,137,136,0.7353
2026-05-26 04:18:32,IN,8718593.254,6511884.2029,0.7469,3034712.6345,1758014.5124,137,136,0.7353
2026-05-26 04:19:32,IN,8773239.2591,6544747.6276,0.746,3089358.6397,1791689.187,137,136,0.7353
2026-05-26 04:20:32,IN,8771667.3429,6521178.3146,0.7434,3085731.9289,1768119.874,137,136,0.7353
2026-05-26 04:21:32,IN,8771280.3776,6533145.0299,0.7448,3085344.9636,1780086.5893,137,136,0.7353
2026-05-26 04:22:32,IN,8741401.9803,6527796.3165,0.7468,3062858.1831,1774737.8759,137,136,0.7353
2026-05-26 04:23:32,IN,8772009.6335,6535974.6732,0.7451,3082322.4955,1782916.2326,137,136,0.7353
2026-05-26 04:24:32,IN,8771559.1798,6552720.1988,0.747,3088378.257,1799661.7582,137,136,0.7353
2026-05-26 04:25:32,IN,8764412.2032,6530967.3897,0.7452,3090024.822,1777908.9491,137,136,0.7353
2026-05-26 04:26:32,IN,8738615.0374,6536085.8373,0.748,3064227.6562,1775214.4198,137,136,0.7353
2026-05-26 04:27:32,IN,8671737.6054,6510754.7438,0.7508,3069442.0376,1750683.3263,137,136,0.7353
2026-05-26 04:28:32,IN,8668512.3025,6540985.0884,0.7546,3069411.7566,1784125.8401,137,136,0.7353
2026-05-26 04:29:32,IN,8559329.9517,6561656.0544,0.7666,2960229.4058,1784826.2837,137,136,0.7353
2026-05-26 04:30:32,IN,8657067.9946,6561905.7886,0.758,3057206.3688,1785076.0178,137,136,0.7353
2026-05-26 04:31:32,IN,8478367.7623,6593903.9141,0.7777,2878506.1365,1817074.1433,137,136,0.7353
2026-05-26 04:32:32,IN,8688075.9984,6587728.3066,0.7582,3104414.3725,1810898.5358,137,136,0.7353
2026-05-26 04:33:32,IN,8690139.9925,6544169.6262,0.7531,3106478.3667,1767339.8554,137,136,0.7353
2026-05-26 04:34:32,IN,8704679.133,6548635.5247,0.7523,3121017.5072,1773074.1535,137,136,0.7353
2026-05-26 04:35:32,IN,8761121.3915,6555677.97,0.7483,3177459.7657,1780116.5988,137,136,0.7353
2026-05-26 04:36:32,IN,8756232.4261,6581089.4994,0.7516,3172570.8003,1805528.1282,137,136,0.7353
2026-05-26 04:37:32,IN,8745709.0506,6559188.1517,0.75,3200848.8012,1776351.0338,137,136,0.7353
2026-05-26 04:38:32,IN,8544052.3057,6664933.8009,0.7801,3001959.6662,1881942.8368,137,136,0.7353
2026-05-26 04:39:32,IN,8508751.2737,6661745.5345,0.7829,2969846.9006,1878754.5704,137,136,0.7353
2026-05-26 04:40:32,IN,8710444.9884,6650659.2717,0.7635,3171540.6153,1867668.3077,137,136,0.7353
2026-05-26 04:41:32,IN,8840599.3206,6459537.6264,0.7307,3301694.9475,1709184.1381,137,136,0.7353
2026-05-26 04:42:32,IN,9065134.6962,6538135.3406,0.7212,3449123.2597,1787781.8524,137,136,0.7353
2026-05-26 04:43:32,IN,9134229.674,6465880.2623,0.7079,3518979.3173,1697628.4235,137,136,0.7353
2026-05-26 04:44:32,IN,9115054.2834,6387168.908,0.7007,3499803.9267,1619417.0692,137,136,0.7353
2026-05-26 04:45:32,IN,9109776.5809,6471722.5982,0.7104,3494526.2242,1703970.7594,137,136,0.7353
2026-05-26 04:46:32,IN,9111800.1446,6426281.1711,0.7053,3496549.7879,1659430.213,137,136,0.7353
2026-05-26 04:47:32,IN,9115301.9655,6418209.1082,0.7041,3500051.6088,1651358.1501,137,136,0.7353
2026-05-26 04:48:32,IN,9065427.7921,6378330.4193,0.7036,3450177.4354,1611479.4612,137,136,0.7353
2026-05-26 04:49:32,IN,9179064.2125,6598841.8242,0.7189,3195066.7116,1899908.3536,136,135,0.7407
2026-05-26 04:50:32,IN,9239891.8417,6546127.654,0.7085,3273565.3409,1886564.2621,136,135,0.7407
2026-05-26 04:51:32,IN,9221519.6719,6528422.5118,0.708,3255964.7853,1868859.1199,136,135,0.7407
2026-05-26 04:52:32,IN,9225184.9097,6438863.6084,0.698,3259630.0231,1811915.7947,136,135,0.7407
2026-05-26 04:53:32,IN,9225845.6644,6453480.2621,0.6995,3260290.7778,1826532.4483,136,135,0.7407
2026-05-26 04:54:32,IN,9226226.438,6390596.4764,0.6927,3260671.5514,1763648.6627,136,135,0.7407
2026-05-26 04:55:32,IN,9200261.4065,6364892.8842,0.6918,3322055.9333,1740967.7591,136,135,0.7407
2026-05-26 04:56:32,IN,9208209.4301,6369399.8197,0.6917,3330003.957,1745474.6946,136,135,0.7407
2026-05-26 04:57:32,IN,9053715.2388,6350662.7452,0.7014,3179205.8824,1734780.3872,136,135,0.7407
2026-05-26 04:58:32,IN,9130213.2249,6367879.7376,0.6975,3262219.4163,1739285.4459,136,135,0.7407
2026-05-26 04:59:32,IN,9180666.8688,6354776.9072,0.6922,3312673.0601,1717178.9481,136,135,0.7407
2026-05-26 05:00:32,IN,9150538.8004,6355154.9261,0.6945,3282544.9917,1723330.3259,136,135,0.7407
2026-05-26 05:01:32,IN,9150679.7756,6281152.9752,0.6864,3287084.0107,1649328.375,136,135,0.7407
2026-05-26 05:02:32,IN,9168028.4861,6285957.4791,0.6856,3304432.7212,1654132.8789,136,135,0.7407
2026-05-26 05:03:32,IN,8892909.1771,6433103.3953,0.7234,3037740.4236,1801278.7951,136,135,0.7407
2026-05-26 05:04:32,IN,8901297.5553,6436251.9496,0.7231,3025670.4827,1804427.3494,136,135,0.7407
2026-05-26 05:05:32,IN,8810021.3772,6432305.9164,0.7301,2963604.6478,1800481.3161,136,135,0.7407
2026-05-26 05:06:32,IN,8796040.7851,6638040.6901,0.7547,3207782.8386,1962900.1436,137,136,0.7353
2026-05-26 05:07:32,IN,8900398.4703,6451934.0474,0.7249,3015279.5503,1830831.5285,136,135,0.7407
2026-05-26 05:08:32,IN,8830703.3238,6298205.7203,0.7132,2992207.9193,1677103.2014,136,135,0.7407
2026-05-26 05:09:32,IN,8700562.764,6336302.4188,0.7283,3158022.6268,1717818.2575,137,135,1.4815
2026-05-26 05:10:32,IN,9040126.4714,6363044.9999,0.7039,3201631.067,1742134.0682,136,135,0.7407
2026-05-26 05:11:32,IN,8648894.0432,6281913.4059,0.7263,2811219.5343,1657853.6289,136,135,0.7407
2026-05-26 05:12:32,IN,8770167.9986,6493346.8513,0.7404,3227486.8037,1801626.8284,137,136,0.7353
2026-05-26 05:13:32,IN,8763320.3826,6510035.9636,0.7429,3220326.0471,1710076.2069,137,136,0.7353
2026-05-26 05:14:32,IN,8751101.6138,6623430.3412,0.7569,3214702.9084,1823470.5845,137,136,0.7353
2026-05-26 05:15:32,IN,8694410.5574,6760218.9174,0.7775,3158011.8519,1960259.1607,137,136,0.7353
