시각KST,종목,총매도잔량,총매수잔량,매수벽비율,상위5매도,상위5매수,최우선매도가,최우선매수가,스프레드%
2026-05-26 03:42:11,AZTEC,10587236.1351,3392083.9502,0.3204,3824145.0974,1711466.2087,36.3,36.2,0.2762
2026-05-26 03:42:11,EDGE,3864944.8167,1115897.0687,0.2887,498361.3738,407780.5358,138,137,0.7299
2026-05-26 03:42:11,MMT,1041977.8489,847338.7103,0.8132,533069.6689,628980.4087,194,193,0.5181
2026-05-26 03:42:32,AZTEC,10690071.2798,3421605.0336,0.3201,3961401.4986,1708587.2921,36.3,36.2,0.2762
2026-05-26 03:42:32,EDGE,3864944.8167,1110817.5521,0.2874,498361.3738,407780.5358,138,137,0.7299
2026-05-26 03:42:32,MMT,1041977.8489,847338.7103,0.8132,533069.6689,628980.4087,194,193,0.5181
2026-05-26 03:43:32,AZTEC,10699312.0212,3965719.2045,0.3707,3970642.2401,1795237.1673,36.3,36.1,0.554
2026-05-26 03:43:32,EDGE,3864944.8167,1116634.0864,0.2889,498361.3738,407780.5358,138,137,0.7299
2026-05-26 03:43:32,MMT,1042022.8489,853528.3856,0.8191,533069.6689,635170.084,194,193,0.5181
2026-05-26 03:44:32,AZTEC,10720044.1708,3965796.58,0.3699,3991374.3896,1795314.5428,36.3,36.1,0.554
2026-05-26 03:44:32,EDGE,3884685.5063,1090419.0312,0.2807,518102.0634,382947.2459,138,137,0.7299
2026-05-26 03:44:32,MMT,1042022.8489,853348.6756,0.8189,533069.6689,634990.374,194,193,0.5181
2026-05-26 03:45:32,AZTEC,10750074.6716,3440225.4629,0.32,3986983.6339,1727207.7214,36.3,36.2,0.2762
2026-05-26 03:45:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:45:32,MMT,1042022.8489,853592.5256,0.8192,533069.6689,635234.224,194,193,0.5181
2026-05-26 03:46:32,AZTEC,10652920.2544,3449242.8931,0.3238,3889829.2167,1772625.1516,36.3,36.2,0.2762
2026-05-26 03:46:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:46:32,MMT,1042022.8489,847311.6056,0.8131,533069.6689,628953.304,194,193,0.5181
2026-05-26 03:47:32,AZTEC,10668317.764,3717987.2153,0.3485,3189040.2443,1820333.478,36.4,36.3,0.2755
2026-05-26 03:47:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:47:32,MMT,1042022.8489,853747.1613,0.8193,533069.6689,635388.8597,194,193,0.5181
2026-05-26 03:48:32,AZTEC,10596609.8127,3837148.8933,0.3621,3151753.5495,2130191.9361,36.4,36.2,0.5525
2026-05-26 03:48:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:48:32,MMT,1042022.8489,853966.3516,0.8195,533069.6689,635608.0501,194,193,0.5181
2026-05-26 03:49:32,AZTEC,10326030.2791,3612767.1219,0.3499,2844658.7593,1715608.9095,36.4,36.3,0.2755
2026-05-26 03:49:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:49:32,MMT,1042022.8489,847374.2075,0.8132,533069.6689,629015.9059,194,193,0.5181
2026-05-26 03:50:32,AZTEC,10282099.1166,3616302.7059,0.3517,2879343.8534,1719144.4935,36.4,36.3,0.2755
2026-05-26 03:50:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:50:32,MMT,1042764.0395,853901.3958,0.8189,533810.8595,635543.0942,194,193,0.5181
2026-05-26 03:51:32,AZTEC,10406025.124,3647820.2706,0.3505,2916839.5962,1973263.3135,36.4,36.2,0.5525
2026-05-26 03:51:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:51:32,MMT,1042277.8857,853850.7293,0.8192,533324.7058,635492.4278,194,193,0.5181
2026-05-26 03:52:32,AZTEC,10439945.3533,3627746.8801,0.3475,3192365.073,1951229.1386,36.3,36.2,0.2762
2026-05-26 03:52:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:52:32,MMT,1042545.065,853741.9427,0.8189,533591.8851,635383.6412,194,193,0.5181
2026-05-26 03:53:32,AZTEC,10560893.6771,3603862.4907,0.3412,3324975.3968,1894104.4132,36.3,36.2,0.2762
2026-05-26 03:53:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:53:32,MMT,1042545.065,859074.1328,0.824,533591.8851,640715.8313,194,193,0.5181
2026-05-26 03:54:32,AZTEC,10572574.7982,3449511.7286,0.3263,3361418.7744,1739753.651,36.3,36.2,0.2762
2026-05-26 03:54:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:54:32,MMT,1042545.065,847652.2195,0.8131,533591.8851,629293.918,194,193,0.5181
2026-05-26 03:55:32,AZTEC,10574728.6285,3467653.4038,0.3279,3364249.6048,1757895.3263,36.3,36.2,0.2762
2026-05-26 03:55:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:55:32,MMT,1042545.065,847652.2195,0.8131,533591.8851,629293.918,194,193,0.5181
2026-05-26 03:56:32,AZTEC,10266731.852,3936739.7956,0.3834,2993131.0991,2226981.7181,36.3,36.2,0.2762
2026-05-26 03:56:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:56:32,MMT,1042545.065,847652.2195,0.8131,533591.8851,629293.918,194,193,0.5181
2026-05-26 03:57:32,AZTEC,10579132.5256,3936304.7537,0.3721,3055241.7504,2260907.4604,36.4,36.2,0.5525
2026-05-26 03:57:32,EDGE,3889827.6558,1090419.0312,0.2803,512959.9139,382947.2459,138,137,0.7299
2026-05-26 03:57:32,MMT,1042545.065,847652.2195,0.8131,533591.8851,629293.918,194,193,0.5181
2026-05-26 03:58:32,AZTEC,10589981.515,3935661.4823,0.3716,3066090.7398,2260264.1891,36.4,36.2,0.5525
2026-05-26 03:58:32,EDGE,3889827.6558,1087229.0312,0.2795,512959.9139,379757.2459,138,137,0.7299
2026-05-26 03:58:32,MMT,1042557.065,847652.2195,0.8131,533591.8851,629293.918,194,193,0.5181
2026-05-26 03:59:32,AZTEC,10611201.4215,3752857.2848,0.3537,2847620.9746,1910797.5673,36.5,36.4,0.2747
2026-05-26 03:59:32,EDGE,3889827.6558,1087229.0312,0.2795,512959.9139,379757.2459,138,137,0.7299
2026-05-26 03:59:32,MMT,1042608.705,847747.2138,0.8131,533644.5251,629388.9122,194,193,0.5181
2026-05-26 04:00:32,AZTEC,10534657.6411,3776808.3985,0.3585,3250091.0505,1879583.4678,36.4,36.3,0.2755
2026-05-26 04:00:32,EDGE,3889827.6558,1087282.9193,0.2795,512959.9139,379757.2459,138,137,0.7299
2026-05-26 04:00:32,MMT,1042608.705,847754.8247,0.8131,533644.5251,629396.5231,194,193,0.5181
2026-05-26 04:01:32,AZTEC,10524753.6527,3727789.4196,0.3542,3274598.3187,1762210.2416,36.4,36.3,0.2755
2026-05-26 04:01:32,EDGE,3889827.6558,1087389.2981,0.2795,512959.9139,379757.2459,138,137,0.7299
2026-05-26 04:01:32,MMT,1042530.705,847877.4206,0.8133,533644.5251,629519.119,194,193,0.5181
2026-05-26 04:02:32,AZTEC,11268868.5363,4231325.2337,0.3755,3661876.7534,1667582.3275,36.1,36,0.2778
2026-05-26 04:02:32,EDGE,3889827.6558,1087389.2981,0.2795,512959.9139,379757.2459,138,137,0.7299
2026-05-26 04:02:32,MMT,1066076.4704,852498.2391,0.7997,557190.2904,634139.9376,194,193,0.5181
2026-05-26 04:03:32,AZTEC,11211028.7634,4448201.7504,0.3968,3610791.4317,1888125.7677,36.1,36,0.2778
2026-05-26 04:03:32,EDGE,3889827.6558,1087389.2981,0.2795,512959.9139,379757.2459,138,137,0.7299
2026-05-26 04:03:32,MMT,1063623.6243,861761.5701,0.8102,554737.4443,643403.2685,194,193,0.5181
2026-05-26 04:04:32,AZTEC,10851218.4138,3618102.1667,0.3334,3606777.0798,1458418.841,36.3,36.2,0.2762
2026-05-26 04:04:32,EDGE,3889827.6558,1072899.7509,0.2758,512959.9139,365267.6986,138,137,0.7299
2026-05-26 04:04:32,MMT,1067207.108,853809.9101,0.8,558320.928,635451.6086,194,193,0.5181
2026-05-26 04:05:32,AZTEC,10087191.9854,4231681.0988,0.4195,3253768.0995,2104497.7732,36.3,36.2,0.2762
2026-05-26 04:05:32,EDGE,3889827.6558,1072899.7509,0.2758,512959.9139,365267.6986,138,137,0.7299
2026-05-26 04:05:32,MMT,1067207.108,854801.3023,0.801,558320.928,636443.0008,194,193,0.5181
2026-05-26 04:06:32,AZTEC,9912705.8277,4226661.572,0.4264,3077626.9418,2324965.9443,36.3,36.2,0.2762
2026-05-26 04:06:32,EDGE,3889827.6558,1072899.7509,0.2758,512959.9139,365267.6986,138,137,0.7299
2026-05-26 04:06:32,MMT,1068005.025,854449.0995,0.8,559118.8451,636090.798,194,193,0.5181
2026-05-26 04:07:32,AZTEC,10354052.0285,4087091.6028,0.3947,3070496.4379,1974372.9546,36.4,36.3,0.2755
2026-05-26 04:07:32,EDGE,3889827.6558,1072899.7509,0.2758,512959.9139,365267.6986,138,137,0.7299
2026-05-26 04:07:32,MMT,1068005.025,854634.5895,0.8002,559118.8451,636276.288,194,193,0.5181
2026-05-26 04:08:32,AZTEC,10212037.0141,3882827.9011,0.3802,2925326.4235,1925196.9507,36.4,36.3,0.2755
2026-05-26 04:08:32,EDGE,3889827.6558,1072899.7509,0.2758,512959.9139,365267.6986,138,137,0.7299
2026-05-26 04:08:32,MMT,1068005.025,854386.8495,0.8,559118.8451,636028.548,194,193,0.5181
2026-05-26 04:09:32,AZTEC,10548273.3903,3566650.9355,0.3381,3558795.7424,1787643.0056,36.3,36.2,0.2762
2026-05-26 04:09:32,EDGE,3889827.6558,1072899.7509,0.2758,512959.9139,365267.6986,138,137,0.7299
2026-05-26 04:09:32,MMT,981030.6306,863957.9026,0.8807,471742.4507,645599.6011,194,193,0.5181
2026-05-26 04:10:32,AZTEC,10586034.1109,3526748.0781,0.3332,3615685.0289,1747740.1482,36.3,36.2,0.2762
2026-05-26 04:10:32,EDGE,3889827.6558,1072899.7509,0.2758,512959.9139,365267.6986,138,137,0.7299
2026-05-26 04:10:32,MMT,1014222.5533,854430.0303,0.8424,505006.3734,636071.7287,194,193,0.5181
2026-05-26 04:11:32,AZTEC,10596942.4252,3507465.5722,0.331,3592172.0866,1728457.6422,36.3,36.2,0.2762
2026-05-26 04:11:32,EDGE,3889827.6558,1072899.7509,0.2758,512959.9139,365267.6986,138,137,0.7299
2026-05-26 04:11:32,MMT,1014220.5533,854244.3203,0.8423,505006.3734,635886.0187,194,193,0.5181
2026-05-26 04:12:32,AZTEC,10545258.9436,3803605.0385,0.3607,3280783.9189,2026557.8929,36.4,36.2,0.5525
2026-05-26 04:12:32,EDGE,3889827.6558,1072899.7509,0.2758,512959.9139,365267.6986,138,137,0.7299
2026-05-26 04:12:32,MMT,1014213.5533,854484.3317,0.8425,505006.3734,636126.0302,194,193,0.5181
