시각KST,종목,체결강도%,매수액,매도액,거래대금,체결수,메이저
2026-05-26 00:00:41,AZTEC,251.5,8417741,3346605,11764346,25,
2026-05-26 00:01:41,AZTEC,1352.3,91828726,6790500,98619225,91,
2026-05-26 00:01:41,EDGE,0.0,0,1076270,1076270,1,
2026-05-26 00:02:41,AZTEC,158.3,88028761,55617400,143646161,141,
2026-05-26 00:03:41,AZTEC,100.7,60549866,60137398,120687263,206,
2026-05-26 00:04:41,AZTEC,27.9,39690251,142105337,181795588,377,
2026-05-26 00:05:41,AZTEC,56.3,21835754,38766758,60602512,131,
2026-05-26 00:06:41,AZTEC,103.0,88643673,86051787,174695460,440,
2026-05-26 00:07:41,AZTEC,3.9,4489602,114569421,119059023,320,
2026-05-26 00:08:41,MMT,9999.0,76190,0,76190,1,
2026-05-26 00:08:41,AZTEC,20.6,5916772,28745453,34662225,105,
2026-05-26 00:09:41,EDGE,9999.0,5000,0,5000,1,
2026-05-26 00:09:41,AZTEC,64.4,15289172,23741608,39030780,73,
2026-05-26 00:10:41,AZTEC,36.4,8792883,24144813,32937696,68,
2026-05-26 00:11:41,AZTEC,165.3,17128373,10361355,27489728,49,
2026-05-26 00:12:41,MMT,9999.0,145500,0,145500,1,
2026-05-26 00:12:41,AZTEC,218.8,102550663,46874711,149425375,157,
2026-05-26 00:13:41,AZTEC,164.5,16261700,9884462,26146162,70,
2026-05-26 00:14:41,AZTEC,67.9,29984044,44166642,74150686,98,
2026-05-26 00:14:41,EDGE,0.0,0,142617,142617,2,
2026-05-26 00:15:41,AZTEC,8.1,3478721,42964752,46443474,109,
2026-05-26 00:16:41,AZTEC,7.6,1817061,23946565,25763626,86,
2026-05-26 00:17:41,AZTEC,85.5,15672146,18325587,33997734,67,
2026-05-26 00:18:41,AZTEC,192.8,35446028,18382350,53828379,60,
2026-05-26 00:19:41,AZTEC,25.0,2596910,10388302,12985212,41,
2026-05-26 00:20:41,AZTEC,56.0,13569505,24249042,37818548,88,
2026-05-26 00:21:41,AZTEC,63.0,16260280,25825097,42085376,38,
2026-05-26 00:22:41,AZTEC,1088.3,3944566,362445,4307012,10,
2026-05-26 00:22:41,MMT,0.0,0,302547,302547,2,
2026-05-26 00:23:41,AZTEC,63.3,12275622,19380109,31655731,50,
